ELF sha256=cc9ccafdd549438d8455f0770c60db9295351cc4e07a0044f8d5e9eee1e26640
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2123697 samples=0
PC CASE effect=ScanSweep period_us=997 frames=416 elapsed_us=2131900 samples=2138
PC 40083d44
PC 40083f0b
PC 40107355
PC 4000c268
PC 40085a2a
PC 40085a26
PC 4000c280
PC 40108523
PC 40085a2a
PC 4000c273
PC 40085a45
PC 4000c26f
PC 40081dc7
PC 4008b9df
PC 400835c7
PC 4008b980
PC 40085a1e
PC 400850c7
PC 4008bb82
PC 40083b74
PC 40085a2f
PC 40085020
PC 4008ba52
PC 40085a4d
PC 4010733f
PC 4010721a
PC 40085a1e
PC 400850c1
PC 40084c0f
PC 4000c276
PC 4008b9cb
PC 40085a1a
PC 40081da3
PC 40083a63
PC 4010721d
PC 400d357c
PC 4000c271
PC 40108682
PC 4008ba2c
PC 40085a63
PC 4000c26a
PC 4008b99c
PC 40082f28
PC 4010853b
PC 40083ea4
PC 4008362a
PC 4008b91d
PC 40082e98
PC 40082f1f
PC 40084f60
PC 40085a28
PC 40085a3f
PC 4008ba3e
PC 40107353
PC 40107355
PC 400850ad
PC 40085a20
PC 40082eb7
PC 4008b989
PC 400835b0
PC 40085a1e
PC 4000c260
PC 4008bb82
PC 4008ba5b
PC 40085a54
PC 40083622
PC 4008ba50
PC 40082f28
PC 401084e7
PC 40085a26
PC 40085a2f
PC 400d3541
PC 40085a5a
PC 40085a20
PC 4008506b
PC 40108de8
PC 4000c280
PC 4008ba52
PC 40085a32
PC 40081dbf
PC 4008b914
PC 40085a26
PC 40083cda
PC 40085a2f
PC 40084f2a
PC 4008b96b
PC 4010735e
PC 4008b4bd
PC 4008b995
PC 40085a20
PC 4010853b
PC 40083cad
PC 40085a37
PC 4008b9b6
PC 40107353
PC 40085a20
PC 4008b4bd
PC 40108682
PC 40085a20
PC 40085a2c
PC 40107358
PC 40083f32
PC 40083618
PC 4008b48b
PC 40085a42
PC 40085a63
PC 4008b513
PC 4008b407
PC 40085a26
PC 400835ca
PC 40108679
PC 40082f5b
PC 4008361d
PC 4008b8d1
PC 40082f9f
PC 40085a20
PC 400850b6
PC 40084d15
PC 40083f0d
PC 40085a3a
PC 4000c26f
PC 40085a2c
PC 4008b974
PC 40084fda
PC 40108df9
PC 4008362d
PC 4008ba3e
PC 40083e6f
PC 40083d8c
PC 4008b955
PC 4010721a
PC 40085a3d
PC 4008b50b
PC 40108481
PC 40083f3d
PC 40085a60
PC 4000c26f
PC 40081dbf
PC 40082f47
PC 40084fdd
PC 40084c1e
PC 4000c276
PC 4008b9d9
PC 40085a3d
PC 40085a1a
PC 4008b90e
PC 40085a1e
PC 400835da
PC 4008b430
PC 4008b90e
PC 40085a37
PC 40085a26
PC 40083e73
PC 4008b958
PC 400835eb
PC 4008b52a
PC 40082e93
PC 40085a42
PC 401033a0
PC 40084f12
PC 4008ba32
PC 40107353
PC 4008362a
PC 40082eb4
PC 40085a3f
PC 40085056
PC 40084c4f
PC 40083710
PC 40084f84
PC 40083e6a
PC 4008bb7f
PC 40085a3f
PC 40085a26
PC 40083f0d
PC 40085a3a
PC 40081a84
PC 40085a2f
PC 40085a2f
PC 40081ac1
PC 40108523
PC 40083cf4
PC 4000c26c
PC 401084f6
PC 40083ccf
PC 40088de9
PC 40107365
PC 4000c268
PC 40083d4c
PC 4008ba50
PC 4000c276
PC 40084c8f
PC 4008360f
PC 4008bb85
PC 40082f2e
PC 40085a1e
