elf_sha256=8d39dcd6d0627be488850bbed3942d808757901a1af179506f577eece9681210
payload_bytes=7856 payload_sha256=89bb791bc2978904c4335f391c72a3a293be5d823de54f737aa4dbe3c21a8bef transport=http
WIFI READY 192.168.169.176 80 leds=gpio13,18,21,25 heap_free=73108
LOADED bytes=7856 pixels=113 heap=10512 us=7685
transfer_seconds=4.484
FRAME 0 1358665187 1103 0 0
FRAME 49652777 1358665187 1095 0 0
FRAME 49659722 1358665187 1096 0 0
FRAME 58319444 249888359 1268 0 0
FRAME 58680555 3108222847 1794 0 0
FRAME 58986111 530648222 1319 0 0
FRAME 66000000 2701712700 10999 0 1
FRAME 104166666 1358665187 1156 0 0
FRAME 249753832 1358665187 294 0 0
FRAME 0 1358665187 1101 0 0
FRAME 0 1358665187 1092 0 0
FRAME 49652777 1358665187 1100 0 0
FRAME 49659722 1358665187 1085 0 0
FRAME 58319444 249888359 1275 0 0
FRAME 58680555 3108222847 1268 0 0
FRAME 58986111 530648222 1281 0 0
FRAME 66000000 2701712700 10505 0 0
FRAME 104166666 1358665187 1157 0 0
FRAME 249753832 1358665187 290 0 0
FRAME 0 1358665187 1105 0 0
FRAME 0 1358665187 1606 0 0
FRAME 49652777 1358665187 1095 0 0
FRAME 49659722 1358665187 1096 0 0
FRAME 58319444 249888359 1261 0 0
FRAME 58680555 3108222847 1267 0 0
FRAME 58986111 530648222 1302 0 0
FRAME 66000000 2701712700 10554 0 0
FRAME 104166666 1358665187 1161 0 0
FRAME 249753832 1358665187 293 0 0
FRAME 0 1358665187 1099 0 0
FRAME 0 1358665187 1110 0 0
FRAME 49652777 1358665187 1581 0 0
FRAME 49659722 1358665187 1091 0 0
FRAME 58319444 249888359 1275 0 0
FRAME 58680555 3108222847 1261 0 0
FRAME 58986111 530648222 1284 0 0
FRAME 66000000 2701712700 10641 0 0
FRAME 104166666 1358665187 1685 0 0
FRAME 249753832 1358665187 295 0 0
FRAME 0 1358665187 1103 0 0
FRAME 0 1358665187 1115 0 0
FRAME 49652777 1358665187 1095 0 0
FRAME 49659722 1358665187 1146 0 0
FRAME 58319444 249888359 1279 0 0
FRAME 58680555 3108222847 1260 0 0
FRAME 58986111 530648222 1288 0 0
FRAME 66000000 2701712700 10531 0 0
FRAME 104166666 1358665187 1153 0 0
FRAME 249753832 1358665187 298 0 0
FRAME 0 1358665187 1096 0 0
FRAME 0 1358665187 1649 0 0
FRAME 49652777 1358665187 1101 0 0
FRAME 49659722 1358665187 1104 0 0
FRAME 58319444 249888359 1278 0 0
FRAME 58680555 3108222847 1263 0 0
FRAME 58986111 530648222 1280 0 0
FRAME 66000000 2701712700 10529 0 0
FRAME 104166666 1358665187 1158 0 0
FRAME 249753832 1358665187 303 0 0
FRAME 0 1358665187 1096 0 0
FRAME 0 1358665187 1107 0 0
FRAME 49652777 1358665187 1095 0 0
FRAME 49659722 1358665187 1102 0 0
FRAME 58319444 249888359 1270 0 0
FRAME 58680555 3108222847 1257 0 0
FRAME 58986111 530648222 1291 0 0
FRAME 66000000 2701712700 10535 0 0
FRAME 104166666 1358665187 1147 0 0
FRAME 249753832 1358665187 290 0 0
FRAME 0 1358665187 1097 0 0
FRAME 0 1358665187 1102 0 0
FRAME 49652777 1358665187 1094 0 0
FRAME 49659722 1358665187 1091 0 0
FRAME 58319444 249888359 1276 0 0
FRAME 58680555 3108222847 1252 0 0
FRAME 58986111 530648222 1293 0 0
FRAME 66000000 2701712700 10434 0 0
FRAME 104166666 1358665187 1702 0 0
FRAME 249753832 1358665187 290 0 0
FRAME 0 1358665187 1599 0 0
FRAME 0 1358665187 1100 0 0
FRAME 49652777 1358665187 1065 0 0
FRAME 49659722 1358665187 1091 0 0
FRAME 58319444 249888359 1311 0 0
FRAME 58680555 3108222847 1257 0 0
FRAME 58986111 530648222 1295 0 0
FRAME 66000000 2701712700 10635 0 0
FRAME 104166666 1358665187 1153 0 0
FRAME 249753832 1358665187 291 0 0
FRAME 0 1358665187 1102 0 0
FRAME 0 1358665187 1095 0 0
FRAME 49652777 1358665187 1089 0 0
FRAME 49659722 1358665187 1099 0 0
FRAME 58319444 249888359 1264 0 0
FRAME 58680555 3108222847 1277 0 0
FRAME 58986111 530648222 1283 0 0
FRAME 66000000 2701712700 10509 0 0
FRAME 104166666 1358665187 1158 0 0
FRAME 249753832 1358665187 287 0 0
FRAME 0 1358665187 1117 0 0
FRAME 0 1358665187 1098 0 0
FRAME 49652777 1358665187 1082 0 0
FRAME 49659722 1358665187 1091 0 0
FRAME 58319444 249888359 1271 0 0
FRAME 58680555 3108222847 1261 0 0
FRAME 58986111 530648222 1287 0 0
FRAME 66000000 2701712700 11449 0 1
FRAME 104166666 1358665187 1173 0 0
FRAME 249753832 1358665187 291 0 0
FRAME 0 1358665187 1099 0 0
FRAME 0 1358665187 1098 0 0
FRAME 49652777 1358665187 1094 0 0
FRAME 49659722 1358665187 1097 0 0
FRAME 58319444 249888359 1339 0 0
FRAME 58680555 3108222847 1265 0 0
FRAME 58986111 530648222 1304 0 0
FRAME 66000000 2701712700 10609 0 0
FRAME 104166666 1358665187 1153 0 0
FRAME 249753832 1358665187 296 0 0
FRAME 0 1358665187 1108 0 0
FRAME 0 1358665187 1135 0 0
FRAME 49652777 1358665187 1391 0 1
FRAME 49659722 1358665187 1643 0 0
FRAME 58319444 249888359 1269 0 0
FRAME 58680555 3108222847 1273 0 0
FRAME 58986111 530648222 1287 0 0
FRAME 66000000 2701712700 10578 0 0
FRAME 104166666 1358665187 1147 0 0
FRAME 249753832 1358665187 292 0 0
FRAME 0 1358665187 1105 0 0
FRAME 0 1358665187 1106 0 0
FRAME 49652777 1358665187 1102 0 0
FRAME 49659722 1358665187 1093 0 0
FRAME 58319444 249888359 1275 0 0
FRAME 58680555 3108222847 1269 0 0
FRAME 58986111 530648222 1301 0 0
FRAME 66000000 2701712700 11105 0 0
FRAME 104166666 1358665187 1152 0 0
FRAME 249753832 1358665187 290 0 0
FRAME 0 1358665187 1097 0 0
FRAME 0 1358665187 1102 0 0
FRAME 49652777 1358665187 1601 0 0
FRAME 49659722 1358665187 1100 0 0
FRAME 58319444 249888359 1270 0 0
FRAME 58680555 3108222847 1255 0 0
FRAME 58986111 530648222 1281 0 0
FRAME 66000000 2701712700 10560 0 0
FRAME 104166666 1358665187 1160 0 0
FRAME 249753832 1358665187 290 0 0
FRAME 0 1358665187 1094 0 0
FRAME 0 1358665187 1099 0 0
FRAME 49652777 1358665187 1084 0 0
FRAME 49659722 1358665187 1096 0 0
FRAME 58319444 249888359 1272 0 0
FRAME 58680555 3108222847 1264 0 0
FRAME 58986111 530648222 1285 0 0
FRAME 66000000 2701712700 11164 0 1
FRAME 104166666 1358665187 1143 0 0
FRAME 249753832 1358665187 309 0 0
FRAME 0 1358665187 1109 0 0
FRAME 0 1358665187 1089 0 0
FRAME 49652777 1358665187 1090 0 0
FRAME 49659722 1358665187 1089 0 0
FRAME 58319444 249888359 1286 0 0
FRAME 58680555 3108222847 1253 0 0
FRAME 58986111 530648222 1288 0 0
FRAME 66000000 2701712700 10629 0 0
FRAME 104166666 1358665187 1153 0 0
FRAME 249753832 1358665187 290 0 0
FRAME 0 1358665187 1086 0 0
FRAME 0 1358665187 1101 0 0
FRAME 49652777 1358665187 1091 0 0
FRAME 49659722 1358665187 1088 0 0
FRAME 58319444 249888359 1291 0 0
FRAME 58680555 3108222847 1266 0 0
FRAME 58986111 530648222 1285 0 0
FRAME 66000000 2701712700 10556 0 0
FRAME 104166666 1358665187 1153 0 0
FRAME 249753832 1358665187 288 0 0
FRAME 0 1358665187 1099 0 0
FRAME 0 1358665187 1102 0 0
FRAME 49652777 1358665187 1111 0 0
FRAME 49659722 1358665187 1088 0 0
FRAME 58319444 249888359 1274 0 0
FRAME 58680555 3108222847 1266 0 0
FRAME 58986111 530648222 1285 0 0
FRAME 66000000 2701712700 10503 0 0
FRAME 104166666 1358665187 1159 0 0
FRAME 249753832 1358665187 290 0 0
FRAME 0 1358665187 1099 0 0
FRAME 0 1358665187 1098 0 0
FRAME 49652777 1358665187 1622 0 0
FRAME 49659722 1358665187 1094 0 0
FRAME 58319444 249888359 1286 0 0
FRAME 58680555 3108222847 1250 0 0
FRAME 58986111 530648222 1290 0 0
FRAME 66000000 2701712700 11964 0 4
FRAME 104166666 1358665187 1151 0 0
FRAME 249753832 1358665187 297 0 0
FRAME 0 1358665187 1645 0 0
VERIFIED 200 frames; zero evaluation allocations
