elf_sha256=d791c8042d2ed0ceae4eecbd94782e0cb29c2c3e791c6bd00601007b13b7488d
payload_bytes=25025 payload_sha256=ae25427c2b468c8f36df094df5be611f128db78f6e616a0ec762665105d1fdc9 transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=25025 pixels=452 heap=35260 us=10283
transfer_seconds=0.390
LOADED bytes=25025 pixels=452 heap=35452 us=9402
transfer_seconds=0.157
LOADED bytes=25025 pixels=452 heap=35452 us=10757
transfer_seconds=0.171
VERIFIED HTTP authorization rejection
REJECT Version
REJECT Limit
REJECT Checksum
VERIFIED concurrent HTTP upload rejection
VERIFIED interrupted HTTP upload disconnect
FRAME 0 3459375601 2339 0 0
FRAME 49652777 3459375601 2390 0 0
FRAME 49659722 3459375601 3707 0 1
FRAME 58319444 1758088845 2563 0 0
FRAME 58680555 2337628906 2624 0 0
FRAME 58986111 1343713600 2678 0 0
FRAME 66000000 2491043852 6080 0 0
FRAME 104166666 3459375601 2356 0 0
FRAME 249753832 3459375601 372 0 0
FRAME 0 3459375601 2291 0 0
FRAME 0 3459375601 2364 0 0
FRAME 49652777 3459375601 2367 0 0
FRAME 49659722 3459375601 2302 0 0
FRAME 58319444 1758088845 2571 0 0
FRAME 58680555 2337628906 5785 0 9
FRAME 58986111 1343713600 2651 0 0
FRAME 66000000 2491043852 5345 0 0
FRAME 104166666 3459375601 2824 0 0
FRAME 249753832 3459375601 398 0 0
FRAME 0 3459375601 2373 0 0
FRAME 0 3459375601 2365 0 0
FRAME 49652777 3459375601 2487 0 0
FRAME 49659722 3459375601 2343 0 0
FRAME 58319444 1758088845 2688 0 0
FRAME 58680555 2337628906 2665 0 0
FRAME 58986111 1343713600 2729 0 0
FRAME 66000000 2491043852 5341 0 0
FRAME 104166666 3459375601 3202 0 0
FRAME 249753832 3459375601 428 0 0
FRAME 0 3459375601 2369 0 0
FRAME 0 3459375601 2369 0 0
FRAME 49652777 3459375601 3110 0 0
FRAME 49659722 3459375601 2347 0 0
FRAME 58319444 1758088845 2567 0 0
FRAME 58680555 2337628906 3414 0 0
FRAME 58986111 1343713600 2733 0 0
FRAME 66000000 2491043852 5323 0 0
FRAME 104166666 3459375601 2317 0 0
FRAME 249753832 3459375601 388 0 0
FRAME 0 3459375601 2369 0 0
FRAME 0 3459375601 2409 0 0
FRAME 49652777 3459375601 2399 0 0
FRAME 49659722 3459375601 2347 0 0
FRAME 58319444 1758088845 2563 0 0
FRAME 58680555 2337628906 3387 0 0
FRAME 58986111 1343713600 2732 0 0
FRAME 66000000 2491043852 5337 0 0
FRAME 104166666 3459375601 3145 0 0
FRAME 249753832 3459375601 430 0 0
FRAME 0 3459375601 2438 0 0
FRAME 0 3459375601 2424 0 0
FRAME 49652777 3459375601 2347 0 0
FRAME 49659722 3459375601 2346 0 0
FRAME 58319444 1758088845 3350 0 0
FRAME 58680555 2337628906 2624 0 0
FRAME 58986111 1343713600 2733 0 0
FRAME 66000000 2491043852 6014 0 0
FRAME 104166666 3459375601 2358 0 0
FRAME 249753832 3459375601 428 0 0
FRAME 0 3459375601 2411 0 0
FRAME 0 3459375601 2369 0 0
FRAME 49652777 3459375601 2347 0 0
FRAME 49659722 3459375601 2481 0 0
FRAME 58319444 1758088845 2563 0 0
FRAME 58680555 2337628906 2655 0 0
FRAME 58986111 1343713600 2647 0 0
FRAME 66000000 2491043852 5353 0 0
FRAME 104166666 3459375601 2352 0 0
FRAME 249753832 3459375601 348 0 0
FRAME 0 3459375601 2377 0 0
FRAME 0 3459375601 2373 0 0
FRAME 49652777 3459375601 2483 0 0
FRAME 49659722 3459375601 2351 0 0
FRAME 58319444 1758088845 2567 0 0
FRAME 58680555 2337628906 3204 0 0
FRAME 58986111 1343713600 2712 0 0
FRAME 66000000 2491043852 5333 0 0
FRAME 104166666 3459375601 4409 0 1
FRAME 249753832 3459375601 348 0 0
FRAME 0 3459375601 2377 0 0
FRAME 0 3459375601 2974 0 0
FRAME 49652777 3459375601 2297 0 0
FRAME 49659722 3459375601 2351 0 0
FRAME 58319444 1758088845 2566 0 0
FRAME 58680555 2337628906 2567 0 0
FRAME 58986111 1343713600 2740 0 0
FRAME 66000000 2491043852 8544 0 8
FRAME 104166666 3459375601 2293 0 0
FRAME 249753832 3459375601 426 0 0
FRAME 0 3459375601 4644 0 0
FRAME 0 3459375601 2302 0 0
FRAME 49652777 3459375601 2350 0 0
FRAME 49659722 3459375601 2335 0 0
FRAME 58319444 1758088845 2624 0 0
FRAME 58680555 2337628906 2632 0 0
FRAME 58986111 1343713600 2717 0 0
FRAME 66000000 2491043852 5276 0 0
FRAME 104166666 3459375601 2357 0 0
FRAME 249753832 3459375601 411 0 0
FRAME 0 3459375601 2491 0 0
FRAME 0 3459375601 2368 0 0
FRAME 49652777 3459375601 2339 0 0
FRAME 49659722 3459375601 2292 0 0
FRAME 58319444 1758088845 2490 0 0
FRAME 58680555 2337628906 2632 0 0
FRAME 58986111 1343713600 2673 0 0
FRAME 66000000 2491043852 5258 0 0
FRAME 104166666 3459375601 2348 0 0
FRAME 249753832 3459375601 377 0 0
FRAME 0 3459375601 2408 0 0
FRAME 0 3459375601 2369 0 0
FRAME 49652777 3459375601 2339 0 0
FRAME 49659722 3459375601 3018 0 0
FRAME 58319444 1758088845 2571 0 0
FRAME 58680555 2337628906 2612 0 0
FRAME 58986111 1343713600 2832 0 0
FRAME 66000000 2491043852 6804 0 1
FRAME 104166666 3459375601 2348 0 0
FRAME 249753832 3459375601 428 0 0
FRAME 0 3459375601 4095 0 0
FRAME 0 3459375601 2296 0 0
FRAME 49652777 3459375601 2346 0 0
FRAME 49659722 3459375601 4538 0 2
FRAME 58319444 1758088845 2510 0 0
FRAME 58680555 2337628906 2623 0 0
FRAME 58986111 1343713600 3477 0 0
FRAME 66000000 2491043852 6094 0 0
FRAME 104166666 3459375601 2348 0 0
