elf_sha256=20825d3a3d5a4080eaae656e3bf2a0b37e757fd1fc6fe36eb199a44391ce830d
payload_bytes=25025 payload_sha256=0bcdb1abbc55e401ddb4c069e04d94e74002222454844d7c7815522021b1cf0f transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=25025 pixels=452 heap=33872 us=10407
transfer_seconds=0.359
LOADED bytes=25025 pixels=452 heap=34064 us=9432
transfer_seconds=0.157
LOADED bytes=25025 pixels=452 heap=34064 us=9458
transfer_seconds=0.156
FRAME 0 3459375601 2538 0 0
FRAME 49652777 3459375601 5348 0 1
FRAME 49659722 3459375601 2710 0 0
FRAME 58319444 1758088845 2836 0 0
FRAME 58680555 2337628906 2898 0 0
FRAME 58986111 1343713600 3544 0 0
FRAME 66000000 2491043852 38981 0 0
FRAME 104166666 3459375601 2948 0 0
FRAME 249753832 3459375601 401 0 0
FRAME 0 3459375601 3267 0 0
VERIFIED 10 frames; zero evaluation allocations
PLAYBACK core=1 frames=120 missed=10 eval_avg_us=2057 eval_max_us=2361 encode_avg_us=2456 encode_max_us=2635 dma_wait_avg_us=1660 dma_wait_max_us=1990 total_avg_us=11430 total_max_us=97271 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2028 eval_max_us=2245 encode_avg_us=2459 encode_max_us=2722 dma_wait_avg_us=1816 dma_wait_max_us=1842 total_avg_us=6327 total_max_us=6365 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2030 eval_max_us=2294 encode_avg_us=2457 encode_max_us=2729 dma_wait_avg_us=1818 dma_wait_max_us=1995 total_avg_us=6328 total_max_us=6488 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2031 eval_max_us=2339 encode_avg_us=2456 encode_max_us=2730 dma_wait_avg_us=1818 dma_wait_max_us=2050 total_avg_us=6328 total_max_us=6544 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2031 eval_max_us=2339 encode_avg_us=2455 encode_max_us=2651 dma_wait_avg_us=1818 dma_wait_max_us=1924 total_avg_us=6328 total_max_us=6418 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2032 eval_max_us=2333 encode_avg_us=2456 encode_max_us=2652 dma_wait_avg_us=1817 dma_wait_max_us=2050 total_avg_us=6328 total_max_us=6546 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2032 eval_max_us=2341 encode_avg_us=2457 encode_max_us=2653 dma_wait_avg_us=1816 dma_wait_max_us=1925 total_avg_us=6327 total_max_us=6419 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2031 eval_max_us=2340 encode_avg_us=2454 encode_max_us=2653 dma_wait_avg_us=1819 dma_wait_max_us=1969 total_avg_us=6327 total_max_us=6464 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2015 eval_max_us=2308 encode_avg_us=2458 encode_max_us=2659 dma_wait_avg_us=1830 dma_wait_max_us=1869 total_avg_us=6326 total_max_us=6368 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2258 encode_avg_us=2458 encode_max_us=2653 dma_wait_avg_us=1839 dma_wait_max_us=1874 total_avg_us=6327 total_max_us=6368 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2008 eval_max_us=2256 encode_avg_us=2459 encode_max_us=2658 dma_wait_avg_us=1836 dma_wait_max_us=1873 total_avg_us=6327 total_max_us=6368 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2011 eval_max_us=2316 encode_avg_us=2456 encode_max_us=2654 dma_wait_avg_us=1837 dma_wait_max_us=1864 total_avg_us=6327 total_max_us=6408 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2007 eval_max_us=2252 encode_avg_us=2459 encode_max_us=2654 dma_wait_avg_us=1838 dma_wait_max_us=1866 total_avg_us=6326 total_max_us=6365 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2009 eval_max_us=2330 encode_avg_us=2458 encode_max_us=2654 dma_wait_avg_us=1837 dma_wait_max_us=1866 total_avg_us=6327 total_max_us=6373 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2009 eval_max_us=2318 encode_avg_us=2458 encode_max_us=2653 dma_wait_avg_us=1837 dma_wait_max_us=1879 total_avg_us=6327 total_max_us=6368 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2303 encode_avg_us=2457 encode_max_us=2652 dma_wait_avg_us=1842 dma_wait_max_us=2038 total_avg_us=6328 total_max_us=6509 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2003 eval_max_us=2261 encode_avg_us=2458 encode_max_us=2727 dma_wait_avg_us=1843 dma_wait_max_us=1909 total_avg_us=6328 total_max_us=6486 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2005 eval_max_us=2255 encode_avg_us=2460 encode_max_us=2720 dma_wait_avg_us=1839 dma_wait_max_us=1865 total_avg_us=6327 total_max_us=6379 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2003 eval_max_us=2252 encode_avg_us=2458 encode_max_us=2731 dma_wait_avg_us=1842 dma_wait_max_us=1879 total_avg_us=6326 total_max_us=6367 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2005 eval_max_us=2251 encode_avg_us=2456 encode_max_us=2714 dma_wait_avg_us=1844 dma_wait_max_us=1926 total_avg_us=6328 total_max_us=6410 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2004 eval_max_us=2286 encode_avg_us=2461 encode_max_us=2765 dma_wait_avg_us=1839 dma_wait_max_us=1870 total_avg_us=6327 total_max_us=6368 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2254 encode_avg_us=2457 encode_max_us=2726 dma_wait_avg_us=1840 dma_wait_max_us=1885 total_avg_us=6327 total_max_us=6416 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2249 encode_avg_us=2459 encode_max_us=2729 dma_wait_avg_us=1839 dma_wait_max_us=1866 total_avg_us=6326 total_max_us=6367 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2257 encode_avg_us=2456 encode_max_us=2661 dma_wait_avg_us=1841 dma_wait_max_us=1879 total_avg_us=6326 total_max_us=6357 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2009 eval_max_us=2288 encode_avg_us=2456 encode_max_us=2657 dma_wait_avg_us=1840 dma_wait_max_us=1900 total_avg_us=6327 total_max_us=6395 heap_free=83008
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=2006 eval_max_us=2261 encode_avg_us=2457 encode_max_us=2658 dma_wait_avg_us=1842 dma_wait_max_us=2071 total_avg_us=6330 total_max_us=6542 heap_free=83008
