elf_sha256=20825d3a3d5a4080eaae656e3bf2a0b37e757fd1fc6fe36eb199a44391ce830d
payload_bytes=25025 payload_sha256=0bcdb1abbc55e401ddb4c069e04d94e74002222454844d7c7815522021b1cf0f transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=25025 pixels=452 heap=33872 us=10073
transfer_seconds=0.406
VERIFIED HTTP authorization rejection
REJECT Version
REJECT Limit
REJECT Checksum
VERIFIED concurrent HTTP upload rejection
VERIFIED interrupted HTTP upload disconnect
FRAME 0 3459375601 2961 0 1
FRAME 49652777 3459375601 2518 0 0
FRAME 49659722 3459375601 3437 0 0
FRAME 58319444 1758088845 3692 0 1
FRAME 58680555 2337628906 2895 0 0
FRAME 58986111 1343713600 3576 0 0
FRAME 66000000 2491043852 38198 0 0
FRAME 104166666 3459375601 3601 0 0
FRAME 249753832 3459375601 364 0 0
FRAME 0 3459375601 3396 0 0
FRAME 0 3459375601 3414 0 0
FRAME 49652777 3459375601 2635 0 0
FRAME 49659722 3459375601 2634 0 0
FRAME 58319444 1758088845 3500 0 0
FRAME 58680555 2337628906 3070 0 1
FRAME 58986111 1343713600 3090 0 0
FRAME 66000000 2491043852 43543 0 9
FRAME 104166666 3459375601 4059 0 0
FRAME 249753832 3459375601 372 0 0
FRAME 0 3459375601 2543 0 0
FRAME 0 3459375601 3358 0 0
FRAME 49652777 3459375601 3301 0 0
FRAME 49659722 3459375601 3357 0 0
FRAME 58319444 1758088845 3453 0 0
FRAME 58680555 2337628906 2895 0 0
FRAME 58986111 1343713600 3756 0 0
FRAME 66000000 2491043852 38200 0 0
FRAME 104166666 3459375601 2954 0 0
FRAME 249753832 3459375601 1022 0 0
FRAME 0 3459375601 2679 0 0
FRAME 0 3459375601 2647 0 0
FRAME 49652777 3459375601 2657 0 0
FRAME 49659722 3459375601 3246 0 0
FRAME 58319444 1758088845 2840 0 0
FRAME 58680555 2337628906 3654 0 0
FRAME 58986111 1343713600 3707 0 0
FRAME 66000000 2491043852 41625 0 1
FRAME 104166666 3459375601 2959 0 0
FRAME 249753832 3459375601 383 0 0
FRAME 0 3459375601 3390 0 0
FRAME 0 3459375601 4888 0 2
