ELF sha256=d3ef70a90bcddffbd3074190526df5d8b259f95b23d4a79ad4b68bf048f7d047
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=390 elapsed_us=2005083 samples=0
PC CASE effect=ScanSweep period_us=997 frames=388 elapsed_us=2002422 samples=2008
PC 40086aca
PC 40084e7d
PC 40088aac
PC 4008d02b
PC 40085495
PC 40103065
PC 40084e3e
PC 400fe74b
PC 4008d032
PC 40101e43
PC 40103089
PC 40084e4a
PC 400818c7
PC 4008cd7c
PC 40101e59
PC 40103021
PC 40085499
PC 40081968
PC 4008cd7c
PC 40101e51
PC 40084d83
PC 40088b25
PC 4008cd81
PC 4008549f
PC 400833e2
PC 40087ed2
PC 400883f7
PC 4008cd90
PC 4008cf09
PC 4008cedf
PC 4008b350
PC 40084d2b
PC 40088423
PC 40081925
PC 4008cd90
PC 40101d18
PC 4008ce83
PC 40103083
PC 40084e6b
PC 40088bb6
PC 4008cdcd
PC 40086ad5
PC 40084d0f
PC 40103006
PC 401030d6
PC 40087eac
PC 40085493
PC 4008549f
PC 4000c280
PC 4008343f
PC 400854a8
PC 400854b3
PC 40084ae9
PC 4008ce3f
PC 40084abe
PC 40085499
PC 40085499
PC 4008cdd3
PC 400854a3
PC 40085493
PC 4008549f
PC 40088e97
PC 4008549f
PC 40083b74
PC 4008ce39
PC 40082d4a
PC 40101d1e
PC 40085495
PC 40083445
PC 40085499
PC 40083b6b
PC 40082cb5
PC 400854a1
PC 4000c280
PC 400854ad
PC 40085499
PC 40083445
PC 40101d1e
PC 40101e57
PC 400833bb
PC 400854a8
PC 40086abd
PC 4008388d
PC 40101e4b
PC 40086abd
PC 40083520
PC 4000c276
PC 4008c513
PC 4008cdcd
PC 4008d028
PC 4008390e
PC 40085493
PC 400854a8
PC 40085497
PC 40088c09
PC 4008cdc4
PC 4008cda5
PC 4008549f
PC 4010306a
PC 40084d6e
PC 40088c65
PC 4008cee6
PC 4008cef0
PC 40102f75
PC 40103012
PC 40084e88
PC 40088c25
PC 400838b1
PC 40084de1
PC 40103009
PC 40084e56
PC 40088c20
PC 400838cc
PC 40084dd8
PC 4008ce27
PC 4008cf0e
PC 4010307a
PC 40084e56
PC 4008b329
PC 4000c273
PC 40101e5f
PC 40103196
PC 40103083
PC 40084e56
PC 40083519
PC 40085497
PC 40084cee
PC 4008ce6c
PC 40084d2b
PC 40085495
PC 4008341b
PC 40101e59
PC 40084cb3
PC 4008cef9
PC 4008cd7c
PC 40083c55
PC 400854b0
PC 400854a5
PC 4008344c
PC 40083acb
PC 40084a1b
PC 40084a99
PC 40101d18
PC 4000c273
PC 40083d3c
PC 400854b0
PC 40084ae9
PC 40084aa8
PC 40101e4b
PC 4000c2ee
PC 40082d76
PC 40101e51
PC 4008cda8
PC 40084ab2
PC 4008341b
PC 40083d27
PC 40083a93
PC 400849e2
PC 40084a7b
PC 400833d0
PC 40083d13
PC 40085499
PC 40101e57
PC 4008cd7c
PC 40101e43
PC 40083b30
PC 4008cdfa
PC 40085497
PC 400849c1
PC 40084a63
PC 4008549f
PC 40083d2a
PC 40086abf
PC 4008cdb6
PC 40085493
PC 4008c50d
PC 40085497
PC 400849c1
PC 4008ce4c
PC 40086abd
PC 4000c268
PC 400854b5
PC 400849e2
PC 40084a9e
PC 4008343b
PC 40086acf
PC 400849a2
PC 4008cdfa
PC 40101e57
PC 400854b3
PC 40086ac7
PC 400854ad
PC 401038ec
PC 4008ce49
PC 40083c55
PC 40086ac5
PC 40083b6e
PC 4008cef3
PC 400854b5
PC 40101e43
PC 4008cdd6
PC 40085497
PC 40083b49
PC 4008ce11
PC 4008cefb
PC 400854a5
PC 4008b383
PC 4008351b
PC 40083a61
PC 40085493
PC 40083cf2
PC 40083d42
PC 40085499
PC 40082d7f
PC 4008549f
PC 40083445
PC 400854a5
PC 40101e59
PC 40101d21
PC 400854a3
PC 4000c276
PC 40082d7c
PC 400818c0
PC 4008ceda
PC 4008ce52
PC 4008cf02
PC 40086ad8
PC 40103095
PC 40084e7d
PC 40088c20
PC 4008cd8d
PC 4008cde5
PC 40085499
PC 40103196
PC 4008ceda
PC 40103036
PC 40103146
PC 4008b33d
PC 40083439
PC 4000c273
PC 40085499
PC 4008549f
PC 4008cdb6
PC 40084ad3
PC 400854a5
PC 400854b0
PC 4000c280
PC 40084c87
PC 40085499
PC 4008cd93
PC 40084a63
PC 40086ad8
PC 400833d6
PC 4008cedf
PC 4008549f
PC 40083ac5
PC 40103907
PC 4008cdd0
PC 40083a03
PC 40083b2d
PC 40085495
PC 4008d035
PC 40085493
PC 4008c55b
PC 40082ccd
PC 40083b88
PC 40082ce5
PC 40082d81
PC 400854b0
PC 40082cda
PC 40085493
PC 40083ce5
PC 40085497
PC 401038ef
PC 40085493
PC 400854b0
PC 4008cd7c
PC 4008549f
PC 400854b0
PC 400854b3
PC 4008395f
PC 400854b5
PC 40085497
PC 40083d27
PC 40082dc2
PC 400833da
PC 40081c02
PC 400854b0
PC 4008ce33
PC 400854a1
PC 40101d1e
PC 40082d1b
PC 40083b49
PC 400854b5
PC 4008b385
PC 4008549f
PC 400833bb
PC 40083962
PC 40081bfd
PC 40083d24
PC 4000c276
PC 40085495
PC 40082d7c
PC 40085499
PC 40081bdc
PC 40086ac3
PC 400833c6
PC 400854b0
PC 40082d76
PC 40082cd5
PC 4008549f
PC 40085497
PC 40083447
PC 40083952
PC 400854a8
PC 400854b0
PC 400833fd
PC 4000c268
PC 40082d79
PC 40083423
PC 40101e43
PC 40101e67
PC 400854ad
PC 40085497
PC 40101d23
PC 4008b397
PC 40086ad5
PC 400833da
PC 40082d42
PC 40101d1b
PC 4008395a
PC 40101e57
PC 40083404
PC 40083439
PC 40082d42
PC 400879e9
PC 40101d18
PC 40085493
PC 4008343d
PC 400854b5
PC 40081bde
PC 40101e57
PC 400833c6
PC 400854a3
PC 40085493
PC 40083b2b
PC 40083420
PC 4000c268
PC 400854ad
PC 400854a5
PC 400854b5
PC 400833d6
PC 40082d54
PC 400833ef
PC 400854a8
PC 400854b3
PC 40088e56
PC 40085497
PC 40101e57
PC 40083445
PC 400854a8
PC 400854a1
PC 400833f9
PC 4000c268
PC 40082d7c
PC 40085499
PC 40081be7
PC 40086ad5
PC 40101e57
PC 400833e2
PC 40083447
PC 400854a8
PC 4008d02d
PC 40083900
PC 40085497
PC 400854b0
PC 40083519
PC 40084e26
PC 40088bb9
PC 4008196a
PC 4008d032
PC 4008d028
PC 4008b380
PC 4008ce05
PC 4008ce66
PC 40103042
PC 40084da1
PC 400fe7ec
PC 40083519
PC 4000c26a
PC 4008549f
PC 40084ccd
PC 4008cdbe
PC 4008cdad
PC 40084aa2
PC 4008549f
PC 400854a8
PC 400854b0
PC 40083c75
PC 4008549f
PC 4008cd99
PC 4008cdb6
PC 40085493
PC 40081be0
PC 40083cf2
PC 4008cedc
PC 40082d42
PC 40085495
PC 40082dc2
PC 40085497
PC 40083b37
PC 40083ced
PC 40081be9
PC 4008b385
PC 40085493
PC 40083b37
PC 400879e9
PC 4008cedf
PC 40085495
PC 400879e9
PC 400854b0
PC 400854a8
PC 400854b0
PC 4008cdb0
PC 400833e2
PC 4008549f
PC 400854aa
PC 400833f5
PC 40085495
PC 40086ad2
PC 40085493
PC 4008343d
PC 40082d5d
PC 40082d1b
PC 40101d1e
PC 400833ff
PC 4000c276
PC 40083a03
PC 40083447
PC 40101d18
PC 4008341b
PC 40083430
PC 40082dc5
PC 400854aa
PC 40088e43
PC 400833c0
PC 4008343d
PC 4008549f
PC 400854a8
PC 40083a03
PC 40101d23
PC 400854b0
PC 4000c26a
PC 40082d4c
PC 400833e8
PC 4008cdff
PC 40101d18
PC 400833b9
PC 4000c280
PC 40082d6a
PC 40081954
PC 4008d028
PC 40101d21
PC 40101e57
PC 400833c6
PC 40088be9
PC 4008cd84
PC 400838fd
PC 4008ceda
PC 40085493
PC 4008c50d
PC 40087ea6
PC 40088aac
PC 4008ce86
PC 4008390b
PC 40101d1b
PC 401030a9
PC 40084dbb
PC 40088aac
PC 4008ceee
PC 4008cf00
PC 4008cd8a
PC 4010302d
PC 40085493
PC 40088c47
PC 400838fa
PC 40084dd8
PC 4008ce8c
PC 40084d15
PC 400854aa
PC 400818f1
PC 40101e4b
PC 4010317d
PC 40103006
PC 40084d9b
PC 40088b71
PC 4000c280
PC 40084cdc
PC 4008ce83
PC 40103105
PC 40088bd0
PC 4008b312
PC 40084cb9
PC 40103024
PC 40085499
PC 40088404
PC 4008cdfa
PC 40103c28
PC 4010301b
PC 400854b5
PC 400883f9
PC 4008ce08
PC 40084cfa
PC 40103098
PC 40087ee3
PC 40081954
PC 40085493
PC 4008cdc4
PC 401030d6
PC 40087ec1
PC 400818c9
PC 4008cdff
PC 40102fbc
PC 4008ce2d
PC 40103051
PC 40084d36
PC 4008841b
PC 40085497
PC 4000c26f
PC 400854ad
PC 4008cdc4
PC 40103027
PC 40088e43
PC 400833dc
PC 4000c276
PC 40085497
PC 40084cb3
PC 4008ce80
PC 40084a11
PC 40084a8d
PC 40101e51
PC 40083408
PC 4000c280
PC 40081bf8
PC 400854a3
PC 400849b9
PC 40084a36
PC 4008ceee
PC 400854aa
PC 40083b27
PC 4008cdc7
PC 4008d035
PC 40081be9
PC 40085493
PC 40101e67
PC 400854aa
PC 4008396d
PC 40081be2
PC 4008c56c
PC 4000c268
PC 4008549f
PC 40086aca
PC 40082dc2
PC 40085497
PC 40086ad2
PC 40083402
PC 4000c26a
PC 400854a3
PC 40083a6c
PC 40083830
PC 4008d035
PC 40085499
PC 40086abd
PC 400833d6
PC 40085497
PC 400fe5b4
PC 4008cd96
PC 4008d035
PC 40101e4b
PC 40084e11
PC 40088c22
PC 40083863
PC 40083900
PC 40101e4b
PC 4008cdd6
PC 4010305d
PC 40084d36
PC 40088445
PC 4008193b
PC 4008b38f
PC 40084c95
PC 4008cdcd
PC 4010302d
PC 40084d2b
PC 40088bca
PC 4000c268
PC 40101d18
PC 40102fba
PC 40103012
PC 4008549f
PC 400854b0
PC 40085495
PC 40084cee
PC 4010300f
PC 4008549f
PC 400833f5
PC 4000c276
PC 40085499
PC 4008cdcd
PC 40103132
PC 40101e51
PC 40083445
PC 4000c268
PC 40086abd
PC 40084cd6
PC 40084a3c
PC 40082cc4
PC 4008343f
PC 4000c276
PC 40083c64
PC 40088e8b
PC 40084a8a
PC 40085493
PC 400833e5
PC 40101e49
PC 40102fd0
PC 40084ad3
PC 40084abe
PC 40086ad2
PC 400833d0
PC 40101e43
PC 40101d23
PC 400849d9
PC 4008ceda
PC 40082cbc
PC 40085495
PC 40083d19
PC 4008549f
PC 400854aa
PC 40084ad3
PC 40083c55
PC 40083b42
PC 40083d04
PC 40085493
PC 40083abd
PC 40084a60
PC 4008c50d
PC 40082cb1
PC 40085493
PC 40085497
PC 40084ae6
PC 40082dca
PC 40081be2
PC 40083ced
PC 400879e9
PC 40085493
PC 4008cdd0
PC 4008549f
PC 4008549f
PC 400854ad
PC 400854a8
PC 40084a60
PC 40083b7c
PC 4008549f
PC 400854b5
PC 40086acf
PC 4008ce7d
PC 40083b2d
PC 4008cdb6
PC 40081bfb
PC 40086ad5
PC 40084a99
PC 40083b37
PC 40085499
PC 40085493
PC 4008cd87
PC 40101d18
PC 4008b36f
PC 40083aee
PC 40084a1d
PC 40101d18
PC 4008342d
PC 40083c61
PC 40084ae1
PC 400854b3
PC 40085499
PC 4000c273
PC 40084cee
PC 40084a5a
PC 40084aaa
PC 40101e57
PC 400833fb
PC 4000c26c
PC 40082d42
PC 400854a8
PC 40084ad9
PC 40084ab5
PC 400833f5
PC 4008cee6
PC 400854ad
PC 40083ad9
PC 400849ef
PC 40084aa0
PC 40083b27
PC 400854aa
PC 4008cdb6
PC 40083d42
PC 400854b5
PC 40088e43
PC 40082d1b
PC 40083b27
PC 40081bfd
PC 40082cb1
PC 4008ce80
PC 4000c26f
PC 40083445
PC 400854b5
PC 40086adb
PC 400854b5
PC 40085497
PC 400833c6
PC 400833d6
PC 4000c271
PC 40085493
PC 4008ce80
PC 4008cd93
PC 40101e57
PC 40086ad8
PC 40083520
PC 40084e56
PC 40088c25
PC 4008cd7c
PC 4008ce08
PC 4008cdd3
PC 4008c566
PC 4008cdeb
PC 40102feb
PC 401030c0
PC 40084e71
PC 40088c5f
PC 4000c280
PC 40101e57
PC 40102f92
PC 4010309b
PC 400854b0
PC 40083445
PC 40083426
PC 40101e43
PC 40103c1c
PC 4008cde8
PC 4008cdcd
PC 40084ab2
PC 40085493
PC 4008549f
PC 40083445
PC 40081bf8
PC 4008549f
PC 4008cdd6
PC 4008ce83
PC 40101d21
PC 400854a8
PC 400854a8
PC 40083aa3
PC 40084aef
PC 40082cf9
PC 4008b34a
PC 40083d5d
PC 400854aa
PC 40084aef
PC 40082cc7
PC 400833f5
PC 40083d2d
PC 40083af6
PC 4008cd7f
PC 40084aa0
PC 4008343d
PC 4008cf09
PC 40082dd2
PC 40101d18
PC 40103909
PC 4008cee6
PC 40083a61
PC 400854a8
PC 4008cdc7
PC 40082d54
PC 4008549f
PC 40082ccf
PC 40083b68
PC 400854a1
PC 400854a3
PC 40101e59
PC 40085499
PC 40081bf8
PC 40083b49
PC 4008ce05
PC 40082d4c
PC 40088e79
PC 400833e2
PC 4008396d
PC 40085493
PC 40082cc2
PC 40083d5a
PC 40083515
PC 4008549f
PC 4008351b
PC 40083b49
PC 400854a8
PC 4000c273
PC 400854b5
PC 400833bd
PC 40083962
PC 40083b32
PC 4008342d
PC 40083525
PC 40085493
PC 400854b0
PC 400854b0
PC 4000c280
PC 40085497
PC 400854b0
PC 400854b3
PC 40085499
PC 4008c52b
PC 400854a3
PC 40086ad8
PC 40082cd5
PC 40081be0
PC 4008ce33
PC 4000c280
PC 40083a61
PC 40083408
PC 40083b37
PC 40083d10
PC 4000c276
PC 40082d7c
PC 40085493
PC 40085495
PC 40083cfd
PC 4000c26f
PC 40083a03
PC 40082cb1
PC 40083b8b
PC 4008cdbe
PC 4000c276
PC 400854ad
PC 40082dc2
PC 40083b37
PC 4008ce7b
PC 40082d46
PC 400833ea
PC 40083b35
PC 40083b7f
PC 40082d4c
PC 4008b32d
PC 40082d16
PC 40081c05
PC 40081bfd
PC 4008cd7c
PC 40083d3f
PC 4008549f
PC 400833d6
PC 40081bdc
PC 40083b3d
PC 4008ce2a
PC 4000c26c
PC 400854a3
PC 40085497
PC 400833f5
PC 40081c02
PC 40086ad5
PC 400833d6
PC 4000c280
PC 4000c280
PC 40085499
PC 4008385a
PC 400838ae
PC 4008ce1b
PC 4008d035
PC 4008549f
PC 4008cddf
PC 4008cf00
PC 40103092
PC 40084e0e
PC 400fe7f2
PC 4008b315
PC 4008343f
PC 40085493
PC 40102fc4
PC 4008ce7b
PC 401030ac
PC 40101d1e
PC 400833f9
PC 4000c268
PC 40086ac1
PC 40102f7d
PC 400849e8
PC 4008cdf4
PC 40084a63
PC 40086ac1
PC 40083454
PC 40083d0a
PC 4008cee4
PC 40085499
PC 40083ae8
PC 401038fd
PC 4008351b
PC 400854b0
PC 40082ccf
PC 40083d4e
PC 40083acb
PC 4008c547
PC 400854b0
PC 40081c02
PC 40085493
PC 400854b5
PC 400854a5
PC 40086ac5
PC 4008549f
PC 40081be0
PC 40085497
PC 4008ce02
PC 4000c280
PC 4000c26f
PC 40083965
PC 400833cb
PC 400854b3
PC 40085497
PC 400833e2
PC 4000c276
PC 40083a03
PC 40083445
PC 40085499
PC 400833e5
PC 4000c268
PC 40082d7f
PC 4008343f
PC 40085493
PC 40083408
PC 4000c280
PC 400854b5
PC 40083520
PC 4008b3b2
PC 400833bd
PC 400854aa
PC 4000c276
PC 40083a03
PC 4008549f
PC 4008cd9f
PC 40101e57
PC 40085493
PC 4000c268
PC 40082d7c
PC 4008cddf
PC 4008cdd3
PC 40101e51
PC 40101e51
PC 4000c268
PC 40088b23
PC 4008ce7d
PC 4008cf23
PC 40101e43
PC 40085493
PC 40084d12
PC 4008845f
PC 40088b94
PC 4008ce7b
PC 4008cf00
PC 40084cb9
PC 4008ce02
PC 40103098
PC 40084e7d
PC 40088c70
PC 4008b320
PC 40103c2f
PC 4008ce7d
PC 401030e7
PC 40084e7f
PC 400fe74f
PC 4008549f
PC 40102f77
PC 4008cee4
PC 4010310e
PC 40088bca
PC 4000c273
PC 40086abd
PC 40084cfa
PC 40102feb
PC 40084e56
PC 400833c0
PC 4000c280
PC 40085497
PC 40102fab
PC 40103080
PC 40101e51
PC 400833bd
PC 40101e43
PC 40103193
PC 4010304b
PC 400f253c
PC 400833d0
PC 40086ad8
PC 40102f88
PC 40103132
PC 40088c1a
PC 4000c276
PC 400854b5
PC 4008cdfa
PC 40103140
PC 40088c42
PC 4000c276
PC 40083c77
PC 4008cef6
PC 40084d76
PC 40088b2d
PC 40085499
PC 40103c35
PC 40103072
PC 40085499
PC 400fe762
PC 4000c273
PC 40101e67
PC 40084cfa
PC 40102fe2
PC 40103086
PC 40085499
PC 400854ad
PC 40083451
PC 40083c77
PC 4008cdfa
PC 4008b3b6
PC 40086ac3
PC 400854b5
PC 4000c260
PC 40101d1e
PC 40084cc8
PC 400849dc
PC 4008cd9f
PC 40084aaa
PC 40101d1e
PC 400854b5
PC 4008ceda
PC 40085493
PC 40083c92
PC 40085493
PC 40084adf
PC 40085499
PC 400854ad
PC 40082cda
PC 4008cd81
PC 400854b0
PC 400854a8
PC 40085497
PC 4008354a
PC 40081bdc
PC 40083b27
PC 40085493
PC 400854b0
PC 400854b0
PC 4008341b
PC 4008549f
PC 4008b37a
PC 40083449
PC 4000c271
PC 400854b5
