ELF sha256=bf2b39716acce9e353075c85ed8781b1084b36131f1e5612490216212d362a1c
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2099732 samples=0
PC CASE effect=ScanSweep period_us=997 frames=416 elapsed_us=2107728 samples=2113
PC 400849e0
PC 400838cc
PC 400833ce
PC 4008548b
PC 40085499
PC 4008340c
PC 4008d41d
PC 400884db
PC 400ffb7d
PC 4000c26c
PC 40083a91
PC 40086ab5
PC 40083513
PC 40100f4c
PC 4008d408
PC 4008351d
PC 4008d406
PC 400849da
PC 400833be
PC 40100fe2
PC 4008549b
PC 400854a5
PC 40085497
PC 40081bda
PC 400854ad
PC 40087ec4
PC 4008d4cd
PC 40086ad0
PC 4000c276
PC 4008548b
PC 40083c4d
PC 4000c271
PC 4008d3dd
PC 40084e86
PC 4008d550
PC 400879e4
PC 40083d17
PC 40084989
PC 40082ccd
PC 4008343f
PC 4008d48c
PC 40086acd
PC 4008548b
PC 4008394a
PC 4008d67f
PC 4000c26c
PC 40100e32
PC 40084d93
PC 40081925
PC 40086ab9
PC 40085497
PC 40082dc2
PC 4008d3fb
PC 40086ad3
PC 40086aca
PC 40085491
PC 400833e7
PC 40082d98
PC 40083b2f
PC 4008548b
PC 4000c472
PC 40100f67
PC 40081933
PC 400ffb7f
PC 4000c276
PC 4008b23d
PC 40083c4d
PC 400833b3
PC 40084cce
PC 40084d84
PC 4008196b
PC 400833ef
PC 400854a5
PC 40082dba
PC 4008d3e9
PC 400833f5
PC 4008190c
PC 4008548f
PC 40083511
PC 400839fb
PC 4008d4cb
PC 4008351d
PC 40100e5f
PC 4008b0fa
PC 40085491
PC 4000c26f
PC 40082d6e
PC 40084a52
PC 40085497
PC 40083c57
PC 40084d2b
PC 4000c273
PC 40083418
PC 40083b25
PC 400854ad
PC 40084ab6
PC 400854ad
PC 400838f5
PC 40083516
PC 400854ad
PC 40085497
PC 400833e0
PC 40100fe5
PC 40088413
PC 4008d40e
PC 40083513
PC 400854ad
PC 4008d45b
PC 400833b8
PC 40101a75
PC 40087ebf
PC 40083a5b
PC 4008548d
PC 4008d458
PC 40086ac4
PC 40082cca
PC 40088494
PC 4008d687
PC 400833ef
PC 40086ab9
PC 400854ad
PC 4000c268
PC 40100ff2
PC 40087ed9
PC 4008d678
PC 40083413
PC 4008b24c
PC 4008d532
PC 4008341b
PC 40084c8d
PC 40084db3
PC 4008d3fb
PC 4008548d
PC 400854a0
PC 40083a8f
PC 4008d685
PC 4000c260
PC 40083876
PC 400ffcad
PC 40082dba
PC 40081bed
PC 4008d53e
PC 400ffb77
PC 40100eb0
PC 4008b027
PC 40086ab7
PC 4008343d
PC 400ffcad
PC 40082ca7
PC 4008548f
PC 40100e89
PC 4008b070
PC 4008548f
PC 40082cd2
PC 4008548f
PC 4008548b
PC 400854a8
PC 400ffcb3
PC 400833e2
PC 40083413
PC 400854a8
PC 40085497
PC 400854a8
PC 4008d4cd
PC 40101748
PC 4008548b
PC 40084cc5
PC 400ffcc1
PC 40082d57
PC 40083b2f
PC 40083d40
PC 4008d4d3
PC 40085499
PC 400838a9
PC 40083518
PC 400ffcad
PC 40085499
PC 4000c26c
PC 4008d53e
PC 4008b01d
PC 40085499
PC 4008548d
PC 40101748
PC 400833b1
PC 40084dd6
PC 40084e7d
PC 40083894
PC 4008a401
PC 400879e4
PC 4008d3ec
PC 40086ab9
PC 40086ac4
PC 40100ed3
PC 400833b1
PC 400ffcb5
PC 40081bda
PC 40081bd8
PC 40084a88
PC 40087e9c
PC 4008d438
PC 40086ac4
PC 40083441
PC 4008548b
PC 400854ab
PC 4000c26a
PC 40100e35
PC 40084e2d
PC 4008d49c
PC 40083513
PC 40081bd8
PC 4008548b
PC 40084a2b
PC 40086acd
PC 400883ec
PC 400ffcb5
PC 4000c268
PC 40082d55
PC 400854ad
PC 400833ef
PC 400ffca2
PC 40100ebe
PC 4008b139
PC 4008548b
PC 40083b86
PC 400854a0
PC 4008d41d
PC 400833da
PC 40084dd0
PC 400ffb7d
PC 4000c268
PC 400ffcb8
PC 40083b86
PC 4008d543
PC 40083513
PC 4008d685
PC 40087edb
PC 4008d489
PC 4008548b
PC 40082cc5
PC 400ffcad
PC 40086acd
PC 4008548f
PC 40100f1c
PC 4000c26a
PC 400833d2
PC 40081bd8
PC 400854ad
PC 4008d532
PC 4008a3d3
PC 4008d447
PC 400854a0
PC 4000c26f
PC 400833e2
PC 40083b63
PC 400833ce
PC 40100fe2
PC 40084e69
PC 4008d3f5
PC 400ffb7a
PC 40085497
PC 4008548b
PC 400ffb7d
PC 4008548f
PC 40100f82
PC 4000c280
PC 400833d0
PC 40082cad
PC 40083aac
PC 400ffca7
PC 4008b043
PC 400ffb7a
PC 4000c276
PC 4008350d
PC 4008d406
PC 4000c280
PC 40100e01
PC 40087eab
PC 4008d406
PC 400ffb7f
PC 4008548b
PC 40083afa
PC 400ffb7d
PC 4008548f
PC 40100e74
PC 400833e4
PC 400833be
PC 400854ad
PC 40083c7b
PC 40082dba
PC 4008b131
PC 4008d552
PC 4008548b
PC 40082dbd
PC 40083b1f
PC 40085497
PC 40084cc0
PC 40084d1f
PC 4008191f
PC 4008548f
PC 40082ccd
PC 40083aa0
PC 40082cec
PC 4000c273
PC 4008d426
PC 40085497
PC 40085491
PC 40085497
PC 40083d2e
PC 4008d3e6
PC 40081935
PC 40083830
PC 400ffcbe
PC 40083511
PC 40085491
PC 4008b27e
PC 40084c8b
PC 40084d23
PC 4008d678
PC 40086ab5
PC 40082d40
PC 40101748
PC 400854a8
PC 400854a8
PC 40084d4c
PC 4008d4bf
PC 40084cdd
PC 4008549b
PC 4008d3e0
PC 40083435
PC 4008548d
PC 4008d474
PC 400833b8
PC 40100de9
PC 400fc659
PC 40086abf
PC 40081bfa
PC 400854ad
PC 400ffc9f
PC 4008548f
PC 40100f61
PC 40083428
PC 40083954
PC 4008d53e
PC 40084acb
PC 400833d4
PC 4008d52a
PC 40086ad0
PC 40082d5a
PC 40083b77
PC 4008548f
PC 40100de1
PC 40084d74
PC 4008d678
PC 400ffcb3
PC 4000c271
PC 4008548f
PC 40084a76
PC 4000c280
PC 40100ff2
PC 40088424
PC 40082d3a
PC 40081bfa
PC 4008d53e
PC 400854a2
PC 400ffc9f
PC 4008b109
PC 4008549d
PC 400833e7
PC 40082d4c
PC 400854ab
PC 400833e7
PC 400ffb7d
PC 4008d55e
PC 400854a8
PC 4008d3dd
PC 4008b275
PC 40082cca
PC 40083c57
PC 4008d4d9
PC 4008350d
PC 400854ad
PC 400ffc9f
PC 4000c276
PC 400ffcc3
PC 40083b60
PC 40082d4a
PC 40084c7f
PC 40100f82
PC 4008192f
PC 400ffcb3
PC 4000c271
PC 4008548d
PC 4008d42f
PC 40086acd
PC 40086ac4
PC 40100ed6
PC 400833be
PC 4008548b
PC 40083b1f
PC 4008d4d3
PC 400ffcb8
PC 4008d4cd
PC 400884db
PC 4008d49c
PC 400854a0
PC 4008548f
PC 4008d423
PC 400833ef
PC 40084c9f
PC 40100f40
PC 40081945
PC 40083441
PC 4008548f
PC 40083c5c
PC 4008d4cb
PC 4008549d
PC 40083858
PC 40086aca
PC 40085497
PC 4008343d
PC 40082dbd
PC 4000c268
PC 4008d40e
PC 40088440
PC 4008d41d
PC 40083518
PC 400854a0
PC 4008d44a
PC 4008548f
PC 40084dd6
PC 40087e98
PC 40085499
PC 400854a5
PC 40082d65
PC 4008d458
PC 4008350f
PC 4000c2e2
PC 400854a8
PC 400879e4
PC 40082d13
PC 4008d67b
PC 40086acd
PC 4008d489
PC 400fc659
PC 4008d45e
PC 400833e2
PC 4008548f
PC 4008d414
PC 400833c5
PC 40084c93
PC 40084e21
PC 4008d471
PC 40082cad
PC 40083cf2
PC 4008549d
PC 400854a0
PC 4008549b
PC 40085497
PC 4008549b
PC 40082dc2
PC 4008548f
PC 4008548b
PC 40085497
PC 40084d4c
PC 40083843
PC 40086ab7
PC 400854ad
PC 4008499f
PC 400ffcad
PC 400854ad
PC 40100ebe
PC 400883ec
PC 40085497
PC 400854a0
PC 400ffc9f
PC 4008549d
PC 400ffb7a
PC 400ffcb5
PC 400833dd
PC 400833ce
PC 40083b25
PC 40085499
PC 4008d406
PC 40088443
PC 4008d3f5
PC 400833ce
PC 40085491
PC 4008d540
PC 400833c8
PC 400833da
PC 400854a0
PC 40085497
PC 4008d4d0
PC 4008b0e9
PC 40086ab5
PC 40083431
PC 40085497
PC 4008a3e5
PC 40084d04
PC 40088459
PC 4008d42c
PC 400854a5
PC 40083400
PC 40083c4d
PC 4008548f
PC 40100f08
PC 4008193f
PC 400ffb7a
PC 4008d43e
PC 40101748
PC 400ffcc1
PC 4008548b
PC 40084e89
PC 4008343d
PC 40083518
PC 40082cca
PC 40083c5c
PC 40084a98
PC 40088413
PC 4008387c
PC 40083418
PC 40082d4c
PC 40085497
PC 40083437
PC 4008549d
PC 40084d66
PC 40081909
PC 4008548b
PC 40082ca5
PC 400854a2
PC 40084a61
PC 400833ce
PC 40084ce9
PC 400ffcad
PC 4000c26f
PC 400833be
PC 40083b6c
PC 40083d46
PC 4008548d
PC 40100e77
PC 4008b157
PC 40083903
PC 4008548f
PC 40082d3a
PC 40084a37
PC 4008548b
PC 40086ab5
PC 40100ee5
PC 4008340c
PC 400ffb74
PC 400854a8
PC 4008549b
PC 4008d441
PC 40084d1f
PC 40083822
PC 400ffcad
PC 400854a5
PC 400854ad
PC 40089325
PC 4008343f
PC 40085499
PC 40100ed3
PC 4008b06e
PC 4008b275
PC 40083cf2
PC 400ffc9f
PC 400ffc9f
PC 40086ab5
PC 40100ef4
PC 4008341b
PC 40085491
PC 40083b77
PC 40085497
PC 4008d550
PC 40100f99
PC 400818c1
PC 40085499
PC 4000c26c
PC 40085499
PC 4008d48f
PC 40083441
PC 4008548b
PC 40084d10
PC 4008d682
PC 4008548b
PC 40082cd5
PC 40085491
PC 40086abb
PC 400ffcad
PC 4008548b
PC 4000c26c
PC 40083444
PC 40082cd0
PC 40084989
PC 40100e47
PC 4008b066
PC 400ffb74
PC 4000c273
PC 400854a0
PC 400854a8
PC 4008343d
PC 4008d550
PC 40087eb9
PC 4008d52c
PC 40082dc0
PC 4008d429
PC 400849a5
PC 400ffb7a
PC 400ffb74
PC 40085499
PC 4000c268
PC 4008343d
PC 400854ab
PC 40083add
PC 4008d46e
PC 400fc64e
PC 400838af
PC 400833b8
PC 40082d3a
PC 40084ad1
PC 4008548f
PC 40085499
PC 40100f25
PC 4008b051
PC 4008b278
PC 40083cdd
PC 40085491
PC 4008548f
PC 4008350f
PC 40100e5c
PC 400833c1
PC 40086ad0
PC 400854a5
PC 40085497
PC 4008548d
PC 400884db
PC 4008d41d
PC 4008344c
PC 400854a2
PC 40085497
PC 400833be
PC 40100fe2
PC 40084e51
PC 4008d554
PC 400833b1
PC 4008d685
PC 400849d1
PC 400833d2
PC 40084c8b
PC 40084e0c
PC 4008340c
PC 4008d3d4
PC 40087e9c
PC 400838fe
PC 400833be
PC 4008548b
PC 40084a6d
PC 4008342a
PC 4008d4cb
PC 4008b020
PC 400854a2
PC 4008d678
PC 400849c6
PC 4008549b
PC 40101a8d
PC 4008549b
PC 40083965
PC 40083b63
PC 400854a2
PC 40082cb4
PC 4008b01d
PC 4008548b
PC 40083435
PC 40082dc0
PC 4008d685
PC 400ffcbb
PC 40100ea4
PC 4008afc4
PC 4008d497
PC 40083449
PC 4008d536
PC 400849b9
PC 40086acd
PC 4008549d
PC 40100f55
PC 4008a428
PC 40082cb2
PC 40083cdd
PC 40083a9e
PC 40082cad
PC 4000c26c
PC 4008d549
PC 4008548b
PC 400854a8
PC 40083518
PC 4008549b
PC 4000c280
PC 40084cb1
PC 40084d1f
PC 400818f5
PC 40085499
PC 40083b72
PC 40082d4c
PC 4008d678
PC 4008548f
PC 40083c65
PC 40085497
PC 400833be
PC 400ffb7a
PC 40085497
PC 40083d49
PC 40083c6d
PC 40100f8e
PC 400818d2
PC 4008548f
PC 4000c280
PC 4008548b
PC 4008d429
PC 400833f3
PC 4008548b
PC 40100eb3
PC 40085497
PC 40082dba
PC 400854ab
PC 4008d471
PC 4008498f
PC 4008d4bf
PC 4008b0b1
PC 400ffca7
PC 4000c276
PC 400833ce
PC 40084aa0
PC 4000c268
PC 40100fef
PC 40084e1c
PC 4008d4cd
PC 40083513
PC 40082cd5
PC 4008548b
PC 40084a5b
PC 4000c280
PC 4008d4d3
PC 40086abd
PC 40085497
PC 40082ca5
PC 40083d14
PC 4008a426
