ELF sha256=012090c79be7449c3566e31df909283c210c6fb3656c2a84a36c53da2a049ab8
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=159 elapsed_us=2012179 samples=0
PC CASE effect=ScanSweep period_us=997 frames=158 elapsed_us=2005923 samples=2011
PC 400f84b1
PC 4010c621
PC 4010c621
PC 400fbaf7
PC 4008549c
PC 4008549c
PC 4010c621
PC 4010c621
PC 4010c612
PC 400854a1
PC 40086abe
PC 4008549c
PC 40086ac7
PC 4010c621
PC 40088b0c
PC 4010c612
PC 4008549c
PC 4010c612
PC 40083507
PC 4010c62d
PC 4010c621
PC 4010c5d0
PC 4008549c
PC 4008549c
PC 4010c621
PC 4010c612
PC 4010c621
PC 40083b54
PC 4008549c
PC 400833c2
PC 400833ac
PC 4010c621
PC 40088c3a
PC 4010c612
PC 4008549c
PC 4010c612
PC 40086abe
PC 4010c742
PC 400fb9d7
PC 4010c612
PC 4008549c
PC 4010c5f9
PC 4010c621
PC 4010c87f
PC 4010c612
PC 40082dae
PC 400fb9cc
PC 4008549c
PC 4008383d
PC 4010c621
PC 4008549c
PC 4010c621
PC 4008549c
PC 4010c612
PC 4008549c
PC 4010c621
PC 4000c276
PC 4010c612
PC 4008549c
PC 4010c612
PC 4008549c
PC 4010c612
PC 4010c621
PC 4010c612
PC 4008549c
PC 4008549c
PC 4008547f
PC 40084d4c
PC 400838f2
PC 4010c621
PC 4008549c
PC 4010c612
PC 4008549c
PC 4010c621
PC 4000c268
PC 4010c612
PC 4008549c
PC 40081be9
PC 40082d49
PC 4010c612
PC 4010c612
PC 40085485
PC 40082d2e
PC 40083501
PC 4010c5ed
PC 4010c621
PC 40084d6f
PC 4010c612
PC 4008549c
PC 40082cc1
PC 400fbb0b
PC 4010c621
PC 4010c612
PC 4010c612
PC 4008549c
PC 4010c72e
PC 4010c621
PC 40083cd5
PC 400854a1
PC 4008547f
PC 40086abb
PC 400fccf9
PC 40083857
PC 4010c621
PC 4008549c
PC 4010c612
PC 4008549c
PC 40082cc1
PC 4000c26f
PC 4010c612
PC 400849f8
PC 400fd5c3
PC 4010c621
PC 4010c621
PC 4010c621
PC 40085491
PC 4000c268
PC 4008549c
PC 4010c648
PC 4010c621
PC 40084d3d
PC 4010c612
PC 40085494
PC 4008549c
PC 40084a58
PC 4010c621
PC 4010c621
PC 4010c612
PC 4008549c
PC 40086ac7
PC 4010c621
PC 40082cc1
PC 4010c612
PC 40082d68
PC 400fb9cf
PC 4008548b
PC 40084daa
PC 4010c612
PC 4010c621
PC 4008b282
PC 400fbafd
PC 4008549c
PC 40084a79
PC 4010c612
PC 4010c621
PC 40085483
PC 4010c621
PC 4008549c
PC 4010c612
PC 4008547f
PC 40085499
PC 4008549c
PC 400fbafa
PC 4008548b
PC 40084d3a
PC 4010c612
PC 4010c621
PC 400fd8d5
PC 40085483
PC 40085483
PC 4010c621
PC 4008549c
PC 4010c612
PC 4008549c
PC 4010c612
PC 4010c621
PC 4010c612
PC 40082d4e
PC 4008547f
PC 40082d2e
PC 40084daa
PC 4010c5f6
PC 4010c621
PC 4008549c
PC 4010c612
PC 4008549c
PC 4010c621
PC 40083416
PC 4010c621
PC 40083ab1
PC 4008549c
PC 4008549c
PC 4010c621
PC 4010c621
PC 4010c612
PC 4008549c
PC 4008549c
PC 40082d2e
PC 40084e5a
PC 4010c6a6
PC 4008b261
PC 4010c612
PC 400fbb16
PC 4008549c
PC 40084a79
PC 4010c621
PC 4010c621
PC 4008549c
PC 4008549c
PC 4008549c
PC 4010c621
PC 4010c621
PC 4010c612
PC 40085485
PC 4000c276
PC 4008549c
PC 400fbb05
PC 4010c621
PC 4008848a
PC 4010c612
PC 4008549c
PC 4010c612
PC 4000c26c
PC 4010c621
PC 4010c621
PC 40084a28
PC 40081bdc
PC 4008549c
PC 4010c621
PC 40083b60
PC 4010c612
PC 4008393a
PC 400fbafd
PC 4000c26f
PC 400fcd8f
PC 4010c612
PC 4010c621
PC 4008547f
PC 40082cc1
PC 4008549c
PC 4010c621
PC 40084a09
PC 4010c612
PC 4008549c
PC 4010c621
PC 4008547f
PC 4010c612
PC 4008549c
PC 40081bce
PC 400854a1
PC 40084e57
PC 40082cc6
PC 4010c621
PC 400fce3d
PC 4010c612
PC 4008549c
PC 4010c621
PC 4000c280
PC 4010c612
PC 4008549c
PC 4010c612
PC 4008549c
PC 4010c612
PC 4010c621
PC 4010c612
PC 4008549c
PC 4008549c
PC 40082d2e
PC 40084e12
PC 4010c6a6
PC 4010c621
PC 400fcc1f
PC 4010c612
PC 4008549c
PC 4010c621
PC 4000c273
PC 4010c612
PC 4008549c
PC 40085494
PC 40085483
PC 4010c612
PC 4010c612
PC 40082dae
PC 4008549c
PC 4008549c
PC 4000c280
PC 400fcd8a
PC 4010c67b
PC 4010c621
PC 4008549c
PC 4008350c
PC 4008549c
PC 4010c621
PC 4010c612
PC 4010c612
PC 4008549c
PC 40083d2e
PC 4010c621
PC 40083cde
PC 40083cd7
PC 40085494
PC 400fbb05
PC 400fccf9
PC 4010c886
PC 4010c621
PC 4008549c
PC 4010c612
PC 4008549c
PC 40082cc1
PC 4000c268
PC 4010c612
PC 40084a28
PC 40084ad8
PC 4010c621
PC 4010c621
PC 4010c621
PC 4008548f
PC 4008547f
PC 4008549c
PC 400fbb10
PC 4010c621
PC 40088bf9
PC 4010c612
PC 4008549c
PC 4010c612
PC 40085485
PC 4010c636
PC 4010c621
PC 4010c612
PC 4008549c
PC 4010c612
PC 4008549c
PC 4010c612
PC 4010c621
PC 40083b7a
PC 40082dbc
PC 4008549c
PC 40086ac1
PC 4010c621
PC 40088bf9
PC 4008b261
PC 4008549c
PC 4010c612
PC 4008549c
PC 4010c621
PC 4000c280
PC 4010c612
PC 4008549c
PC 4010c612
PC 40081bc8
PC 4010c612
PC 4010c621
PC 40082cab
PC 4008549c
PC 4008549c
PC 4008548b
PC 40084e24
PC 4010c6a6
PC 4010c621
PC 400fce4a
PC 4010c612
PC 4008549c
PC 4010c621
PC 4000c280
PC 4010c612
PC 4008549c
PC 4008549c
PC 4008549c
PC 4010c621
PC 4010c621
PC 4010c612
PC 4008548b
PC 40082db6
PC 4008549c
PC 40088404
PC 4010c6a6
PC 400fcced
PC 4010c612
PC 4010c621
PC 4010c612
PC 40083429
PC 4010c621
PC 4010c621
PC 40084a31
PC 4008549c
PC 4008549c
PC 4010c621
PC 4010c621
PC 4010c612
PC 40086aa9
PC 40086abe
PC 4008c488
PC 400838ec
PC 4010c621
PC 40084e5d
PC 4010c612
PC 4008549c
PC 4010c612
PC 4000c268
PC 4010c621
PC 4010c621
PC 4010c883
PC 4008549c
PC 4008549c
PC 4010c621
PC 40083ce9
PC 4010c612
PC 4008549f
PC 400fb9d2
PC 4008549c
PC 40081956
PC 4010c612
PC 4010c621
PC 400fcc41
PC 400fb9cc
PC 4008549c
PC 4010c621
PC 4010c612
PC 4010c621
PC 40084a28
PC 4010c621
PC 4008549c
PC 4010c621
PC 40083b60
PC 4010c612
PC 4008549c
PC 4008548b
PC 40082d6b
PC 4008548d
PC 4010c612
PC 400fcd5d
PC 4010c612
PC 4008549f
PC 4008549c
PC 40083c41
PC 4010c612
PC 4010c621
PC 400849a7
PC 4010c621
PC 4008549c
PC 4010c621
PC 40083b6b
PC 4010c612
PC 40083b63
PC 4000c280
PC 4000c276
PC 4010c72e
PC 4010c621
PC 40084d3a
PC 4010c612
PC 4008549c
PC 400fcc7e
PC 40086ac1
PC 4010c612
PC 4010c621
PC 4010c612
PC 4008549c
PC 40085491
PC 4010c752
PC 4010c612
PC 4010c612
PC 40083b74
PC 4008547f
PC 4008343b
PC 4010c604
PC 4010c621
PC 40084e5d
PC 4010c612
PC 4008549c
PC 40082cc1
PC 4008549c
PC 4010c621
PC 4010c612
PC 4010c612
PC 4008549c
PC 4008547f
PC 4010c736
PC 4010c612
PC 4010c612
PC 40081bee
PC 40088e1d
PC 4010c5ed
PC 400fbaf7
PC 4010c621
PC 40084cda
PC 4010c612
PC 4008549c
PC 40082cc1
PC 4000c268
PC 4010c612
PC 400849f8
PC 400fd5c3
PC 4010c621
PC 4010c612
PC 4010c621
PC 4008549c
PC 4008549c
PC 40083407
PC 400833a5
PC 4010c621
PC 40088bf4
PC 4010c612
PC 4008549c
PC 4010c612
PC 4000c280
PC 4010c621
PC 4008548d
PC 4010c612
PC 4008549c
PC 400849c8
PC 4010c621
PC 40083ce6
PC 4010c612
PC 40082d46
PC 400fbaf7
PC 40082d50
PC 40084e42
PC 4010c612
PC 4010c621
PC 4010c612
PC 4008549c
PC 4010c612
PC 4000c265
PC 4010c612
PC 4010c621
PC 40084ad2
PC 4010c621
PC 4008549c
PC 4010c621
PC 40081be1
PC 4010c612
PC 4008b2b7
PC 400833f2
PC 40085483
PC 40088c05
PC 4010c612
PC 4010c621
PC 400fcc1f
PC 40082cbb
PC 4008548b
PC 4010c621
PC 4008549c
PC 4010c612
PC 4008549c
PC 4010c621
PC 4010c621
PC 4010c612
PC 40082db6
PC 400854a1
PC 40085483
