elf_sha256=47020836d08efa737712aaf707e163532268563524c2b69191f6428d66bf14f1
payload_bytes=7856 payload_sha256=89bb791bc2978904c4335f391c72a3a293be5d823de54f737aa4dbe3c21a8bef transport=http
WIFI READY 192.168.169.176 80 leds=off heap_free=150036
LOADED bytes=7856 pixels=113 heap=10704 us=7201
transfer_seconds=0.312
LOADED bytes=7856 pixels=113 heap=19204 us=11441
transfer_seconds=0.094
LOADED bytes=7856 pixels=113 heap=10704 us=8780
transfer_seconds=0.094
VERIFIED HTTP authorization rejection
REJECT Version
REJECT Limit
REJECT Checksum
VERIFIED concurrent HTTP upload rejection
VERIFIED interrupted HTTP upload disconnect
FRAME 0 1358665187 1182 0 0
FRAME 49652777 1358665187 1061 0 0
FRAME 49659722 1358665187 1126 0 0
FRAME 58319444 249888359 1240 0 0
FRAME 58680555 3108222847 1307 0 0
FRAME 58986111 530648222 1335 0 0
FRAME 66000000 2701712700 10331 0 0
FRAME 104166666 1358665187 1188 0 0
FRAME 249753832 1358665187 363 0 0
FRAME 0 1358665187 1094 0 0
FRAME 0 1358665187 1130 0 0
FRAME 49652777 1358665187 1126 0 0
FRAME 49659722 1358665187 1066 0 0
FRAME 58319444 249888359 1303 0 0
FRAME 58680555 3108222847 1311 0 0
FRAME 58986111 530648222 1278 0 0
FRAME 66000000 2701712700 10387 0 0
FRAME 104166666 1358665187 1163 0 0
FRAME 249753832 1358665187 355 0 0
FRAME 0 1358665187 1130 0 0
FRAME 0 1358665187 1065 0 0
FRAME 49652777 1358665187 1117 0 0
FRAME 49659722 1358665187 1089 0 0
FRAME 58319444 249888359 1291 0 0
FRAME 58680555 3108222847 1303 0 0
FRAME 58986111 530648222 1275 0 0
FRAME 66000000 2701712700 10400 0 0
FRAME 104166666 1358665187 1191 0 0
FRAME 249753832 1358665187 326 0 0
FRAME 0 1358665187 1130 0 0
FRAME 0 1358665187 1066 0 0
FRAME 49652777 1358665187 1121 0 0
FRAME 49659722 1358665187 1118 0 0
FRAME 58319444 249888359 1244 0 0
FRAME 58680555 3108222847 1303 0 0
FRAME 58986111 530648222 1278 0 0
FRAME 66000000 2701712700 10387 0 0
FRAME 104166666 1358665187 1183 0 0
FRAME 249753832 1358665187 326 0 0
FRAME 0 1358665187 1133 0 0
FRAME 0 1358665187 1086 0 0
FRAME 49652777 1358665187 1117 0 0
FRAME 49659722 1358665187 1121 0 0
FRAME 58319444 249888359 1248 0 0
FRAME 58680555 3108222847 1299 0 0
FRAME 58986111 530648222 1278 0 0
FRAME 66000000 2701712700 10388 0 0
FRAME 104166666 1358665187 1188 0 0
FRAME 249753832 1358665187 327 0 0
FRAME 0 1358665187 1130 0 0
FRAME 0 1358665187 1126 0 0
FRAME 49652777 1358665187 1066 0 0
FRAME 49659722 1358665187 1122 0 0
FRAME 58319444 249888359 1248 0 0
FRAME 58680555 3108222847 1299 0 0
FRAME 58986111 530648222 1331 0 0
FRAME 66000000 2701712700 10327 0 0
FRAME 104166666 1358665187 1187 0 0
FRAME 249753832 1358665187 359 0 0
FRAME 0 1358665187 1093 0 0
FRAME 0 1358665187 1129 0 0
FRAME 49652777 1358665187 1082 0 0
FRAME 49659722 1358665187 1122 0 0
FRAME 58319444 249888359 1303 0 0
FRAME 58680555 3108222847 1235 0 0
FRAME 58986111 530648222 1335 0 0
FRAME 66000000 2701712700 10388 0 0
FRAME 104166666 1358665187 1147 0 0
FRAME 249753832 1358665187 359 0 0
FRAME 0 1358665187 1129 0 0
FRAME 0 1358665187 1065 0 0
