elf_sha256=32a4312b56bb6644f714ced974a2e69bd7545aa06a7468518467874ad9827e2a
payload_bytes=25025 payload_sha256=ae25427c2b468c8f36df094df5be611f128db78f6e616a0ec762665105d1fdc9 transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=25025 pixels=452 heap=35260 us=10192
transfer_seconds=0.453
LOADED bytes=25025 pixels=452 heap=35452 us=9283
transfer_seconds=0.156
LOADED bytes=25025 pixels=452 heap=35260 us=10719
transfer_seconds=0.156
VERIFIED HTTP authorization rejection
REJECT Version
REJECT Limit
REJECT Checksum
VERIFIED concurrent HTTP upload rejection
VERIFIED interrupted HTTP upload disconnect
FRAME 0 3459375601 3323 0 1
FRAME 49652777 3459375601 2473 0 0
FRAME 49659722 3459375601 2301 0 0
FRAME 58319444 1758088845 3362 0 0
FRAME 58680555 2337628906 4759 0 0
FRAME 58986111 1343713600 2779 0 0
FRAME 66000000 2491043852 5628 0 0
FRAME 104166666 3459375601 3122 0 0
FRAME 249753832 3459375601 368 0 0
FRAME 0 3459375601 2322 0 0
FRAME 0 3459375601 2531 0 0
FRAME 49652777 3459375601 3604 0 1
FRAME 49659722 3459375601 2325 0 0
FRAME 58319444 1758088845 2513 0 0
FRAME 58680555 2337628906 4649 0 1
FRAME 58986111 1343713600 3431 0 0
FRAME 66000000 2491043852 5624 0 0
FRAME 104166666 3459375601 2546 0 0
FRAME 249753832 3459375601 368 0 0
FRAME 0 3459375601 2319 0 0
FRAME 0 3459375601 3115 0 0
FRAME 49652777 3459375601 3013 0 0
FRAME 49659722 3459375601 2302 0 0
FRAME 58319444 1758088845 2624 0 0
FRAME 58680555 2337628906 4216 0 1
FRAME 58986111 1343713600 2679 0 0
FRAME 66000000 2491043852 6433 0 0
FRAME 104166666 3459375601 2304 0 0
FRAME 249753832 3459375601 348 0 0
FRAME 0 3459375601 2320 0 0
FRAME 0 3459375601 3232 0 0
FRAME 49652777 3459375601 2394 0 0
FRAME 49659722 3459375601 2335 0 0
FRAME 58319444 1758088845 2533 0 0
FRAME 58680555 2337628906 2533 0 0
FRAME 58986111 1343713600 2675 0 0
FRAME 66000000 2491043852 6403 0 0
FRAME 104166666 3459375601 3938 0 0
FRAME 249753832 3459375601 352 0 0
FRAME 0 3459375601 2320 0 0
FRAME 0 3459375601 2313 0 0
FRAME 49652777 3459375601 2436 0 0
FRAME 49659722 3459375601 2302 0 0
FRAME 58319444 1758088845 3170 0 2
FRAME 58680555 2337628906 3295 0 0
FRAME 58986111 1343713600 2679 0 0
FRAME 66000000 2491043852 6278 0 0
FRAME 104166666 3459375601 2452 0 0
FRAME 249753832 3459375601 423 0 0
FRAME 0 3459375601 2343 0 0
FRAME 0 3459375601 2321 0 0
FRAME 49652777 3459375601 2765 0 0
FRAME 49659722 3459375601 2330 0 0
FRAME 58319444 1758088845 3278 0 0
FRAME 58680555 2337628906 3343 0 0
FRAME 58986111 1343713600 2683 0 0
FRAME 66000000 2491043852 5627 0 0
FRAME 104166666 3459375601 2314 0 0
FRAME 249753832 3459375601 341 0 0
FRAME 0 3459375601 2327 0 0
FRAME 0 3459375601 2527 0 0
FRAME 49652777 3459375601 2474 0 0
FRAME 49659722 3459375601 2306 0 0
FRAME 58319444 1758088845 3198 0 0
FRAME 58680555 2337628906 2678 0 0
FRAME 58986111 1343713600 2683 0 0
FRAME 66000000 2491043852 5639 0 0
FRAME 104166666 3459375601 3363 0 1
FRAME 249753832 3459375601 374 0 0
FRAME 0 3459375601 2327 0 0
FRAME 0 3459375601 3647 0 2
FRAME 49652777 3459375601 2475 0 0
FRAME 49659722 3459375601 2306 0 0
FRAME 58319444 1758088845 2513 0 0
FRAME 58680555 2337628906 2673 0 0
FRAME 58986111 1343713600 2679 0 0
FRAME 66000000 2491043852 5664 0 0
FRAME 104166666 3459375601 2409 0 0
FRAME 249753832 3459375601 368 0 0
FRAME 0 3459375601 3017 0 0
FRAME 0 3459375601 2464 0 0
FRAME 49652777 3459375601 2306 0 0
