elf_sha256=580b61b6fddd41a71dd2e2bf9e095ca422ef8192d67e56280e9514f75dcdd9ec
payload_bytes=25268 payload_sha256=82ffb5937025d8b0afad4c2157223ca173498316aa1022cbe5c6317ee16d9a92 transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=25268 pixels=452 heap=35504 us=11038
transfer_seconds=0.578
LOADED bytes=25268 pixels=452 heap=35696 us=10171
transfer_seconds=0.312
LOADED bytes=25268 pixels=452 heap=35504 us=11781
transfer_seconds=0.375
VERIFIED HTTP authorization rejection
REJECT Version
REJECT Limit
REJECT Checksum
VERIFIED concurrent HTTP upload rejection
VERIFIED interrupted HTTP upload disconnect
FRAME 0 3459375601 2513 0 0
FRAME 49652777 3459375601 2341 0 0
FRAME 49659722 3459375601 2268 0 0
FRAME 58319444 1758088845 3875 0 1
FRAME 58680555 2337628906 2723 0 0
FRAME 58986111 1343713600 2846 0 0
FRAME 66000000 2491043852 4704 0 0
FRAME 104166666 3459375601 2429 0 0
FRAME 249753832 3459375601 332 0 0
FRAME 0 3459375601 2960 0 0
FRAME 0 3459375601 2277 0 0
FRAME 49652777 3459375601 2237 0 0
FRAME 49659722 3459375601 2419 0 0
FRAME 58319444 1758088845 3163 0 0
FRAME 58680555 2337628906 2682 0 0
FRAME 58986111 1343713600 2717 0 0
FRAME 66000000 2491043852 4765 0 0
FRAME 104166666 3459375601 2363 0 0
FRAME 249753832 3459375601 408 0 0
FRAME 0 3459375601 2855 0 0
FRAME 0 3459375601 2376 0 0
FRAME 49652777 3459375601 2242 0 0
FRAME 49659722 3459375601 2937 0 0
FRAME 58319444 1758088845 2561 0 0
FRAME 58680555 2337628906 2605 0 0
FRAME 58986111 1343713600 2781 0 0
FRAME 66000000 2491043852 4550 0 0
FRAME 104166666 3459375601 2433 0 0
FRAME 249753832 3459375601 360 0 0
FRAME 0 3459375601 2896 0 0
FRAME 0 3459375601 2359 0 0
FRAME 49652777 3459375601 2236 0 0
FRAME 49659722 3459375601 2439 0 0
FRAME 58319444 1758088845 2536 0 0
FRAME 58680555 2337628906 2617 0 0
FRAME 58986111 1343713600 2778 0 0
FRAME 66000000 2491043852 4675 0 0
FRAME 104166666 3459375601 2319 0 0
FRAME 249753832 3459375601 410 0 0
FRAME 0 3459375601 3341 0 1
FRAME 0 3459375601 2339 0 0
FRAME 49652777 3459375601 2397 0 0
FRAME 49659722 3459375601 2251 0 0
FRAME 58319444 1758088845 2596 0 0
FRAME 58680555 2337628906 2733 0 0
FRAME 58986111 1343713600 2733 0 0
FRAME 66000000 2491043852 4717 0 0
FRAME 104166666 3459375601 2437 0 0
FRAME 249753832 3459375601 426 0 0
FRAME 0 3459375601 2288 0 0
