ELF sha256=f491042589709eb56bfb7e41b45e9857bee447c8aff5109e7a9c1a84619af6fb
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2111611 samples=0
PC CASE effect=ScanSweep period_us=997 frames=416 elapsed_us=2119793 samples=2126
PC 400857f9
PC 40084a8f
PC 40083462
PC 40083458
PC 4008adea
PC 4010a08a
PC 40106ee0
PC 401068d7
PC 40083458
PC 4008345a
PC 4000c280
PC 40083454
PC 40086ff8
PC 4008aca9
PC 40081d7d
PC 40082be1
PC 4008345a
PC 40083476
PC 4010a1ad
PC 4008addc
PC 4010a08d
PC 4008a7cc
PC 40106915
PC 4010a1cb
PC 4008566a
PC 4000c276
PC 4008acca
PC 4008ad15
PC 4008602a
PC 4000c273
PC 40082c92
PC 4010a1ad
PC 4008ace4
PC 401068e2
PC 40085664
PC 401067ab
PC 40083474
PC 4010b03e
PC 4008add2
PC 40083460
PC 400857af
PC 40082cc9
PC 40083474
PC 4008acc7
PC 401068ea
PC 400d18c4
PC 40084e41
PC 4008345a
PC 40086fcc
PC 40084a0a
PC 4008331e
PC 40085675
PC 4008338e
PC 40085664
PC 4008a6d6
PC 401068b3
PC 4010696c
PC 40083474
PC 4010a1ad
PC 4008557e
PC 40083454
PC 4008ad45
PC 40086013
PC 4000c268
PC 40083458
PC 4008a732
PC 4008add7
PC 401068d1
PC 40083458
PC 400858bb
PC 40084b04
PC 4008345a
PC 40083469
PC 40083331
PC 400832ff
PC 4008ad59
PC 4010a1b9
PC 4008808d
PC 4010690c
PC 4008345a
PC 40085659
PC 40083360
PC 4008aca6
PC 40084a62
PC 40083476
PC 40083471
PC 40085654
PC 4008345a
PC 40085e5a
PC 40084f88
PC 40084dd3
PC 400d1834
PC 40083389
PC 4008705b
PC 40083460
PC 400857ff
PC 4008345a
PC 40085786
PC 40082d06
PC 40083476
PC 4008acfa
PC 40084f61
PC 4008a79c
PC 4008ade0
PC 4000c276
PC 4008705b
PC 4010a08a
PC 4010b03e
PC 40084a56
PC 40083460
PC 40084a8f
PC 40083452
PC 4008338e
PC 4010a1ad
PC 4008a6d1
PC 4008ad57
PC 40083363
PC 40085661
PC 4010a08f
PC 40086fd6
PC 4008ac58
PC 40085728
PC 40083454
PC 4010a1b3
PC 4008330f
PC 4008ac94
PC 400880c0
PC 4008af0b
PC 401068c5
PC 40083454
PC 40085652
PC 4010a08a
PC 4010b025
PC 4008adcf
PC 40082bdc
PC 4000c268
PC 40083466
PC 400d354c
PC 40085e08
PC 40084ef7
PC 40084f25
PC 4008601b
PC 4008af04
PC 40082be4
PC 40083469
PC 40083469
PC 4008345a
PC 4000c285
PC 40083471
PC 40083302
PC 40085e63
PC 40084fa3
PC 401067a3
PC 401068df
PC 40083376
PC 4010a08a
PC 4010a1ad
PC 40083460
PC 40082c92
PC 400857b7
PC 40082d00
PC 4008600f
PC 4008af11
PC 4008adc2
PC 40088177
PC 4008acac
PC 4000c26a
PC 40083462
PC 400832ff
PC 4010b03e
PC 40083476
PC 400857ca
PC 40083313
PC 400857ab
PC 40083454
PC 4008601b
PC 4008ad57
PC 40088177
PC 4008aced
PC 40084f8e
PC 40106754
PC 4000c260
PC 40082c1a
PC 400d3553
PC 4010b07c
PC 40083476
PC 400857fc
PC 4008601b
PC 4008601b
PC 4008578e
PC 40083456
PC 40085dcc
PC 40106990
PC 4010a08a
PC 40084df2
PC 4008338b
PC 4008af0e
PC 4008adbb
PC 40081d84
PC 40083464
PC 40082cc9
PC 4008345a
PC 40085e60
PC 40084fbe
PC 4008a815
PC 4008ad57
PC 4008332b
PC 4008aca0
PC 40084a89
PC 40081d9d
PC 40083464
PC 40085728
PC 40083460
PC 40081ab0
PC 4008ac9d
PC 401068e2
PC 4008600f
PC 40087030
PC 4008346b
PC 4010b695
PC 40084a8f
PC 4008338e
PC 4008334c
PC 4008acfd
PC 4008566a
PC 40107086
PC 4008acf4
PC 4008335b
PC 4010b076
PC 400d3536
PC 40086fcc
PC 40084a0a
PC 400832f9
PC 4008330f
PC 4008ac84
PC 4008345a
PC 4008a743
PC 401067d4
PC 400832ff
PC 4008ace4
PC 4010b088
PC 40084b3b
PC 40083464
PC 40083325
PC 4000c276
PC 4008567f
PC 40083454
PC 4008ac84
PC 401068f2
PC 4008600f
PC 40084e13
PC 40083340
PC 4010af73
PC 4008ac81
PC 40082bf2
PC 4008346b
PC 40083462
PC 40083466
PC 40085dc6
PC 40084e5d
PC 40087703
PC 401067e0
PC 4000c273
PC 4008acd9
PC 40083460
PC 40083476
PC 40084a3f
PC 40085673
PC 40086022
PC 40083466
PC 40083322
PC 4010a1b3
PC 4008a7f5
PC 401068bc
PC 40085667
PC 400d353f
PC 4000c268
PC 4008ad1b
PC 4008ad15
PC 40083458
PC 40083471
PC 40082c8d
PC 40083466
PC 4008af04
PC 400880af
PC 4008acbb
PC 40106880
PC 40083474
PC 4008566d
PC 40085664
PC 4008acc1
PC 40084a8f
PC 400857af
PC 4008345a
PC 4008331b
PC 4008adcf
PC 4008addc
PC 40083476
PC 40084e2d
PC 40083353
PC 4010afea
PC 4008add2
PC 40082d0b
PC 40083458
PC 40083460
PC 40083476
PC 4008337f
PC 4010a08a
PC 40081a96
PC 4008ad00
PC 4000c276
PC 40084b38
PC 40083474
PC 4010af96
PC 4008adcf
PC 40083454
PC 40083476
PC 40083337
PC 40083360
PC 40083456
PC 4008a735
PC 400d3533
PC 40088130
PC 4008acb2
PC 4008330f
PC 4010b076
PC 4008558a
PC 40083458
PC 4008aca3
PC 40083476
PC 4008601d
PC 40083460
PC 4000c280
PC 4010a1ad
PC 40081a7d
PC 401068bf
PC 40084b0a
PC 4008ac9a
PC 40083320
PC 400858b2
PC 4008564a
PC 40084a4b
PC 40083466
PC 400857f0
PC 40083476
PC 40083387
PC 40083458
PC 4000c276
PC 4010a1ad
PC 40081a8f
PC 4008add5
PC 40086015
PC 40084e5a
PC 4008332b
PC 4010b033
PC 4008ac7b
PC 40083458
PC 40081d98
PC 40085684
PC 4010a1c1
PC 4008ac81
PC 401069a7
PC 400876cf
PC 4010678f
PC 40083387
PC 4010b030
PC 4008adda
PC 400d356a
PC 40081d77
PC 40083469
PC 400832f9
PC 4008adc2
PC 40084e9b
PC 40085b6d
PC 40084de0
PC 40083454
PC 4010a1b3
PC 40082be7
PC 4008ad15
PC 40083454
PC 4000c26a
PC 4008adff
PC 40083471
PC 4008a725
PC 4008ac9d
PC 40083320
PC 4008ac9a
PC 4008ad15
PC 40083454
PC 400857ad
PC 40083464
PC 40083304
PC 40085e63
PC 40083458
PC 4008812e
PC 40106868
PC 40083389
PC 4010afcc
PC 4010b076
PC 40082c84
PC 400857fc
PC 40082caf
PC 4010a1b9
PC 40083399
PC 4008ac5b
PC 40083458
PC 40106763
PC 40083471
PC 40086022
PC 4010a1c4
PC 400855d0
PC 40083454
PC 40083387
PC 400d3581
PC 40083469
PC 4010a1ad
PC 40081aec
PC 401068f2
PC 40083471
PC 40084de9
PC 4008333c
PC 4010b01f
PC 4008acbb
PC 40083458
PC 40083454
PC 40082cce
PC 40083456
PC 4008ad71
PC 400880eb
PC 4008ac58
PC 401068ef
PC 4008566a
PC 40083458
PC 4010b017
PC 4008703b
PC 4008559c
PC 40082bda
PC 40083476
PC 40083471
PC 40082c73
PC 40083311
PC 4008af11
PC 401069b0
PC 40085664
PC 40106849
PC 40086022
PC 4008acf4
PC 40083458
PC 4008580d
PC 40083456
PC 40082bd6
PC 4000c268
PC 40083466
PC 400880a4
PC 4008ac6c
PC 40084fa0
PC 40084df8
PC 4008333e
PC 4010aff6
PC 4000c2e6
PC 4008558a
PC 400857c8
PC 40083466
PC 4008601b
PC 4008acca
PC 4010a08a
PC 4008a7e9
PC 40106895
PC 4008336d
PC 4010a08a
PC 40083458
PC 4010b01f
PC 40084a68
PC 400857bd
PC 40085788
PC 40083458
PC 4000c268
PC 4010a1bb
PC 4008a728
PC 401068f2
PC 40083471
PC 40106783
PC 40083452
PC 4008ac9a
PC 40082c9b
PC 400855dc
PC 40084a8f
PC 40082bfd
PC 4000c26c
PC 40083476
PC 40083325
PC 40085df3
PC 400880af
PC 40106868
PC 4000c280
PC 40084b38
PC 4008600f
PC 4008ac94
PC 40083460
PC 40081d86
PC 4008ac75
PC 40085673
PC 40083460
PC 4010a1b9
PC 40085e34
PC 4010a1c9
PC 40081b04
PC 40084e8c
PC 40084dcf
PC 40083304
PC 400858b8
PC 40083469
PC 4010afb4
PC 40082c82
PC 400857ad
PC 40083460
PC 40082d03
PC 4000c273
PC 40083464
PC 4008a790
PC 4008ac9a
PC 401068c2
PC 4008600f
PC 4008346e
PC 4010a1ad
PC 40084a53
PC 40084a8f
PC 40081da0
PC 40083476
PC 4010a1b9
PC 40085dd6
PC 40085e0e
PC 40084f76
PC 40084e24
PC 40085664
PC 4010af79
PC 4008ace4
PC 4008ac81
PC 4008345a
PC 4008330f
PC 4008ac5b
PC 40085e6e
PC 4008a773
PC 401067f5
PC 40083452
PC 4008aca6
PC 4008ad00
PC 40084a74
PC 40081d98
PC 40083387
PC 40083466
PC 4008331b
PC 4008ad65
PC 40084e83
PC 4010a1c4
PC 4010a08a
PC 4010b693
PC 4010b01f
PC 4008acbe
PC 40086015
PC 40083358
PC 4008adcf
PC 4008564e
PC 4008a7b5
PC 4008ace7
PC 40083320
PC 4008ac84
PC 40087050
PC 4008559c
PC 40083460
PC 4008345a
PC 4008338e
PC 4008578e
PC 4008346e
PC 4008acc1
PC 40106918
PC 40085664
PC 4010b9b8
PC 40083399
PC 4010aff6
PC 4008acaf
PC 40084a8f
PC 400857bd
PC 4008568d
PC 40083309
PC 4008acfd
PC 40106945
PC 400876f2
PC 401067e6
PC 40083320
PC 4008ad1e
PC 40081d7d
PC 4010a1a8
PC 40084a28
PC 40083460
PC 4008336d
PC 40083454
PC 40083309
PC 4008adcc
PC 4008a790
PC 4008acd3
PC 4000c280
PC 40084a8f
PC 40085664
PC 4010b695
PC 40084a42
PC 40083460
PC 4000c26a
PC 40085675
PC 4010a1ad
PC 4008acf7
PC 40084e89
PC 40083476
PC 4008aca3
PC 4008335e
PC 4008ad59
