ELF sha256=856adf9dd9298d108b3bb1d1182e98a6004b7147461fbb0a8cc6e2340735cfd7
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2113583 samples=0
PC CASE effect=ScanSweep period_us=997 frames=416 elapsed_us=2121783 samples=2128
PC 40082c76
PC 40083382
PC 40087014
PC 40084a36
PC 4008331f
PC 40083454
PC 40083454
PC 40083456
PC 4008a827
PC 4008aa70
PC 40106f12
PC 40083454
PC 40087016
PC 40084a2d
PC 4008344c
PC 40083446
PC 4000c26a
PC 4008aba2
PC 40084ece
PC 40083465
PC 40084e07
PC 4008346a
PC 4010a4f3
PC 4008579d
PC 40082cc0
PC 40082cc0
PC 4010a4f1
PC 40088122
PC 40084dc3
PC 4008344c
PC 40082bd5
PC 40083448
PC 40081d71
PC 4000c276
PC 4008abb6
PC 40085e4e
PC 40107095
PC 4000c280
PC 4010b365
PC 400849fe
PC 40082be3
PC 40082c6b
PC 4010a4dd
PC 400880b4
PC 40084f1f
PC 40083465
PC 4008344c
PC 40084a83
PC 40086003
PC 400832fd
PC 40081ace
PC 40088083
PC 40084e35
PC 4010a3bc
PC 4008346a
PC 400857ab
PC 4008346a
PC 4000c280
PC 4008ab45
PC 4008aaec
PC 40083303
PC 4008344c
PC 4008344c
PC 400857c3
PC 40083456
PC 4010a3c2
PC 4008abc8
PC 4010709e
PC 4000c276
PC 4010b9de
PC 400857ed
PC 4008344e
PC 40083458
PC 4010a3c7
PC 40084e5c
PC 4008345f
PC 4008336a
PC 4008aaec
PC 4008aad0
PC 40083314
PC 40083456
PC 4008345d
PC 4008aaaa
PC 4008aa52
PC 40083448
PC 4010a3c2
PC 400d3483
PC 40083448
PC 40082c7e
PC 40085e67
PC 40085b61
PC 4010a3c2
PC 40083465
PC 4008abcc
PC 40084a24
PC 4008346a
PC 4008337b
PC 40083465
PC 40085d9d
PC 4008abb6
PC 4008344a
PC 4010b34f
PC 4010b2b4
PC 400857ed
PC 4010a4dd
PC 4008344e
PC 40085d87
PC 40085da2
PC 4008aa9b
PC 4008601c
PC 4010b2a9
PC 4008345d
PC 40083454
PC 4008564d
PC 4008565e
PC 4008a811
PC 40106f2d
PC 4010bcff
PC 4010a4eb
PC 40083462
PC 4008346a
PC 4008346a
PC 40085675
PC 4010a501
PC 4008a802
PC 40084e4b
PC 40083334
PC 40083314
PC 4010a4eb
PC 40081d8a
PC 40083468
PC 4010a3c2
PC 400885a3
PC 4008a805
PC 4010bcf0
PC 40083465
PC 40085580
PC 400857f3
PC 400857ab
PC 40083454
PC 4008abb6
PC 40084f55
PC 40085655
PC 4008563e
PC 400858a0
PC 40082c78
PC 40085681
PC 4000c271
PC 4000c276
PC 4008acfa
PC 40084eae
PC 4008338a
PC 400858ac
PC 4008344c
PC 40082c6b
PC 40083454
PC 4000c268
PC 4008aab0
PC 40085e5f
PC 40107098
PC 4008345d
PC 4010b385
PC 4008344c
PC 4008334f
PC 400832ed
PC 4008aba4
PC 40106ffa
PC 4000c280
PC 4000c271
PC 4008aaf5
PC 4008aba4
PC 40083347
PC 4008334c
PC 4000c273
PC 4008aa5b
PC 40084ea0
PC 40086016
PC 40084a83
PC 40085599
PC 40085590
PC 4008345f
PC 40083462
PC 400832e9
PC 4008ab01
PC 4008aa9b
PC 4008aad0
PC 4008345d
PC 4010b2e4
PC 4008aa6d
PC 40082cf7
PC 40082cc0
PC 4008345d
PC 4008a7b6
PC 4010bd01
PC 40084de0
PC 40083448
PC 40083454
PC 4008344c
PC 40084a83
PC 40086003
PC 4008345d
PC 400876c3
PC 40083454
PC 40083448
PC 40087026
PC 4008abae
PC 4008336f
PC 40083314
PC 40081ade
PC 40088098
PC 40084e4e
PC 4008344e
PC 40081d71
PC 40083454
PC 40086007
PC 40083446
PC 40085dab
PC 4008aa4c
PC 400832ed
PC 400d346e
PC 400855e1
PC 4008579d
PC 4000c268
PC 4008aab0
PC 40107041
PC 40106fbb
PC 40083323
PC 40087021
PC 40084a83
PC 4008345a
PC 40083465
PC 40085658
PC 40088126
PC 40084b0f
PC 4008344c
PC 4008344c
PC 4008abc8
PC 4008334f
PC 40083312
PC 40081aa2
PC 40081a67
PC 40106f06
PC 40083462
PC 4010b9dc
PC 40082bd0
PC 40082bca
PC 40084a83
PC 4010a4eb
PC 4008a7d1
PC 40106f09
PC 40084e25
PC 40083468
PC 40085578
PC 40081d6f
PC 4000c280
PC 4000c26f
PC 40085ddb
PC 401070ee
PC 40083319
PC 4010b2ec
PC 4010b294
PC 40082bdd
PC 4010a4f6
PC 40083454
PC 40081ae3
PC 40088595
PC 40107038
PC 4000c273
PC 4010b316
PC 4008aaa1
PC 40083307
PC 40083319
PC 40086011
PC 4008aac2
PC 40106fe8
PC 4000c280
PC 40083321
PC 4010b2ab
PC 400857b1
PC 4008577a
PC 4010a4e3
PC 40083465
PC 40088126
PC 40106f9e
PC 4010a3bc
PC 4010a4f3
PC 4010a3c2
PC 400857b1
PC 40083468
PC 4008565b
PC 4008a811
PC 40088091
PC 40106f96
PC 40083303
PC 4008564a
PC 40083468
PC 4008344c
PC 40082cfa
PC 40085655
PC 40084fb2
PC 40084af2
PC 40083448
PC 400858a3
PC 40083454
PC 40083448
PC 4000c268
PC 4000c26c
PC 40085ddb
PC 401070ad
PC 4000c276
PC 4008aa7e
PC 4008aa67
PC 40082bdd
PC 4010a4eb
PC 4008346a
PC 40081ad5
PC 4008ab54
