ELF sha256=740f4ed328e7db39f89c5da1990656b7332372d0ea91353e137af0e248bf184e
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2103876 samples=0
PC CASE effect=ScanSweep period_us=997 frames=416 elapsed_us=2112027 samples=2118
PC 4008ab2e
PC 4008aad6
PC 40106f15
PC 40083465
PC 40081aeb
PC 4008345a
PC 4008338d
PC 4010a2d4
PC 40082c3b
PC 4008344c
PC 4010b26b
PC 4008abc8
PC 4010a3f5
PC 40083454
PC 40083448
PC 4008811f
PC 4008aa6d
PC 4008abe5
PC 4008565e
PC 40083309
PC 40083448
PC 40081d9a
PC 4008ab43
PC 40083448
PC 40086fec
PC 40083347
PC 4008337d
PC 40083454
PC 4010bbf9
PC 4008aaa1
PC 401072d6
PC 4008ab4b
PC 4008abb8
PC 4010a403
PC 40083448
PC 40083347
PC 40082c40
PC 4008345a
PC 400857be
PC 4008aa55
PC 4008aa44
PC 4008acfd
PC 40083448
PC 4008344c
PC 4008344e
PC 4008aab3
PC 4008ab2e
PC 4008abbe
PC 4008aac5
PC 40106ed3
PC 4008aa67
PC 4008ab43
PC 4008aa86
PC 4008abbb
PC 4010a3f5
PC 400d3432
PC 400832f3
PC 40082c3b
PC 40083462
PC 4008345f
PC 40084a02
PC 4010b202
PC 4008acfd
PC 4008345d
PC 4008346a
PC 4000c268
PC 40106f2d
PC 40106ffe
PC 40084efc
PC 40088124
PC 40081a88
PC 400832ed
PC 400832ed
PC 4000c26c
PC 40086007
PC 40084a83
PC 40082cf7
PC 40084a6b
PC 400855c4
PC 40087014
PC 4008704f
PC 40084b32
PC 40084e4e
PC 4008abaa
PC 40106f3b
PC 40084ed9
PC 4008344e
PC 4010a2da
PC 40083349
PC 40083454
PC 40083382
PC 400857c5
PC 40085804
PC 4008aad3
PC 40084a83
PC 40084b17
PC 40083458
PC 4000c268
PC 40086016
PC 40084e0c
PC 4008acfd
PC 4008aa95
PC 4008aac5
PC 4010a2df
PC 4008346a
PC 4000c263
PC 40083454
PC 40083448
PC 4008aaca
PC 40084a86
PC 40085655
PC 400885c9
PC 40085655
PC 40083454
PC 40106e22
PC 4008abc1
PC 40106f30
PC 40085e5a
PC 40083465
PC 400832f3
PC 40083340
PC 40082cfd
PC 400857fb
PC 4008aa64
PC 40082c84
PC 4008345f
PC 4010b1f4
PC 4000c26a
PC 4010a2da
PC 40084de3
PC 4008aa4c
PC 40106f30
PC 4008aad9
PC 40085e51
PC 40085658
PC 4008346a
PC 4008344a
PC 40083468
PC 40081d7f
PC 400857be
PC 4008aa86
PC 40083456
PC 40083454
PC 40083375
PC 4000c280
PC 4008345d
PC 40106ea2
PC 40088093
PC 40085dde
PC 40083454
PC 40085658
PC 40083347
PC 40081d8f
PC 400857be
PC 4008aa58
PC 40084a6e
PC 400855cd
PC 40083316
PC 4000c26a
PC 40084b0f
PC 40106df2
PC 40106f2a
PC 40081aff
PC 4008aa6d
PC 4008346a
PC 40083303
PC 4000c276
PC 400885a9
PC 4008aa64
PC 40083448
PC 4008345d
PC 4008aa89
PC 4008344c
PC 40084e0c
PC 4008abb8
PC 40106fb0
PC 4008816b
PC 4008aba2
PC 4000c276
PC 40082c89
PC 40083349
PC 400857f3
PC 40083454
PC 4008aad6
PC 40082bce
PC 40083309
PC 4000c276
PC 40084ddd
PC 4008a7c6
PC 40085d95
PC 40085e4e
PC 4008aaf2
PC 40083465
PC 4008577c
PC 4008344e
PC 40085684
PC 400857fe
PC 4008345f
PC 4008aa44
PC 4008acfd
PC 40082bce
PC 4010a2da
PC 400832e9
PC 4008ab01
PC 40106f12
PC 40084ed0
PC 4008344a
PC 40088083
PC 400832fd
