elf_sha256=580b61b6fddd41a71dd2e2bf9e095ca422ef8192d67e56280e9514f75dcdd9ec
payload_bytes=6070 payload_sha256=2e230ead5a9ed9174c2004fb5f7c19983d1b039f6f98ced4c3fa58bf2791b892 transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=6070 pixels=200 heap=9500 us=6972
transfer_seconds=0.204
FRAME 3000000 2452516024 29689 0 1
FRAME 3008333 2452516024 28358 0 0
FRAME 3016666 2452516024 28364 0 0
FRAME 3024999 2452516024 28369 0 0
FRAME 3033332 2452516024 28373 0 0
FRAME 3041665 2452516024 28362 0 0
FRAME 3049998 2452516024 28362 0 0
FRAME 3058331 2452516024 29672 0 0
FRAME 3066664 2452516024 29684 0 0
FRAME 3074997 2452516024 29680 0 0
FRAME 3083330 2452516024 30646 0 0
FRAME 3091663 2452516024 29673 0 0
FRAME 3099996 2452516024 29687 0 0
FRAME 3108329 2452516024 34251 0 8
FRAME 3116662 2452516024 34105 0 3
FRAME 3124995 2452516024 34304 0 3
FRAME 3133328 2452516024 33742 0 1
FRAME 3141661 2452516024 34463 0 4
FRAME 3149994 2452516024 34276 0 3
FRAME 3158327 2452516024 33519 0 1
FRAME 3166660 2452516024 32292 0 0
FRAME 3174993 2452516024 32288 0 0
FRAME 3183326 2452516024 32304 0 0
FRAME 3191659 2452516024 32291 0 0
FRAME 3199992 2452516024 32296 0 0
FRAME 3208325 2452516024 32292 0 0
FRAME 3216658 2452516024 32313 0 0
FRAME 3224991 2452516024 32284 0 0
FRAME 3233324 2452516024 32304 0 0
FRAME 3241657 2452516024 32289 0 0
FRAME 3249990 2452516024 32288 0 0
FRAME 3258323 2452516024 32300 0 0
FRAME 3000000 2452516024 28373 0 0
FRAME 3008333 2452516024 28368 0 0
FRAME 3016666 2452516024 28352 0 0
FRAME 3024999 2452516024 28376 0 0
FRAME 3033332 2452516024 28364 0 0
FRAME 3041665 2452516024 32627 0 8
FRAME 3049998 2452516024 31493 0 3
FRAME 3058331 2452516024 33031 0 3
FRAME 3066664 2452516024 34105 0 10
FRAME 3074997 2452516024 32633 0 5
FRAME 3083330 2452516024 29670 0 0
FRAME 3091663 2452516024 29683 0 0
FRAME 3099996 2452516024 29679 0 0
FRAME 3108329 2452516024 30981 0 0
FRAME 3116662 2452516024 30985 0 0
FRAME 3124995 2452516024 36008 0 15
FRAME 3133328 2452516024 33781 0 5
FRAME 3141661 2452516024 34114 0 2
FRAME 3149994 2452516024 30997 0 0
FRAME 3158327 2452516024 32291 0 0
FRAME 3166660 2452516024 32284 0 0
FRAME 3174993 2452516024 32291 0 0
FRAME 3183326 2452516024 32301 0 0
FRAME 3191659 2452516024 32280 0 0
FRAME 3199992 2452516024 32278 0 0
FRAME 3208325 2452516024 32288 0 0
FRAME 3216658 2452516024 32296 0 0
FRAME 3224991 2452516024 32257 0 0
FRAME 3233324 2452516024 32295 0 0
FRAME 3241657 2452516024 32287 0 0
FRAME 3249990 2452516024 32292 0 0
FRAME 3258323 2452516024 32288 0 0
FRAME 3000000 2452516024 28361 0 0
FRAME 3008333 2452516024 28363 0 0
FRAME 3016666 2452516024 28359 0 0
FRAME 3024999 2452516024 30443 0 1
FRAME 3033332 2452516024 31531 0 2
FRAME 3041665 2452516024 31688 0 4
FRAME 3049998 2452516024 29524 0 1
FRAME 3058331 2452516024 29658 0 0
FRAME 3066664 2452516024 29664 0 0
FRAME 3074997 2452516024 29659 0 0
FRAME 3083330 2452516024 29665 0 0
FRAME 3091663 2452516024 29667 0 0
FRAME 3099996 2452516024 29698 0 0
FRAME 3108329 2452516024 34199 0 3
FRAME 3116662 2452516024 34416 0 4
FRAME 3124995 2452516024 33982 0 2
FRAME 3133328 2452516024 33693 0 1
FRAME 3141661 2452516024 34575 0 4
FRAME 3149994 2452516024 30997 0 0
FRAME 3158327 2452516024 35056 0 1
FRAME 3166660 2452516024 35058 0 1
FRAME 3174993 2452516024 35682 0 3
FRAME 3183326 2452516024 35033 0 1
FRAME 3191659 2452516024 32284 0 0
FRAME 3199992 2452516024 32295 0 0
FRAME 3208325 2452516024 35022 0 1
FRAME 3216658 2452516024 32336 0 0
FRAME 3224991 2452516024 32292 0 0
FRAME 3233324 2452516024 32292 0 0
FRAME 3241657 2452516024 32293 0 0
FRAME 3249990 2452516024 32308 0 0
FRAME 3258323 2452516024 32288 0 0
VERIFIED 96 frames; zero evaluation allocations
PLAYBACK core=1 frames=120 missed=40 eval_avg_us=153 eval_max_us=1879 encode_avg_us=1231 encode_max_us=1420 dma_wait_avg_us=3297 dma_wait_max_us=4971 total_avg_us=42369 total_max_us=1046275 heap_free=107380
PLAYBACK core=1 frames=120 missed=91 eval_avg_us=14303 eval_max_us=27767 encode_avg_us=1226 encode_max_us=1665 dma_wait_avg_us=303 dma_wait_max_us=3470 total_avg_us=15937 total_max_us=29079 heap_free=107380
PLAYBACK core=1 frames=120 missed=120 eval_avg_us=29026 eval_max_us=32175 encode_avg_us=1224 encode_max_us=1295 dma_wait_avg_us=19 dma_wait_max_us=66 total_avg_us=30372 total_max_us=33557 heap_free=107380
PLAYBACK core=1 frames=120 missed=59 eval_avg_us=7965 eval_max_us=20302 encode_avg_us=1220 encode_max_us=1286 dma_wait_avg_us=1606 dma_wait_max_us=4946 total_avg_us=10886 total_max_us=21689 heap_free=107380
CAPTURED 4 playback windows
