elf_sha256=8d39dcd6d0627be488850bbed3942d808757901a1af179506f577eece9681210
payload_bytes=7856 payload_sha256=89bb791bc2978904c4335f391c72a3a293be5d823de54f737aa4dbe3c21a8bef transport=http
WIFI READY 192.168.169.176 80 leds=gpio13,18,21,25 heap_free=73108
LOADED bytes=7856 pixels=113 heap=10704 us=9309
transfer_seconds=0.391
FRAME 0 1358665187 1102 0 0
FRAME 49652777 1358665187 1106 0 0
FRAME 49659722 1358665187 1079 0 0
FRAME 58319444 249888359 1291 0 0
FRAME 58680555 3108222847 1287 0 0
FRAME 58986111 530648222 1293 0 0
FRAME 66000000 2701712700 10672 0 0
FRAME 104166666 1358665187 1171 0 0
FRAME 249753832 1358665187 275 0 0
FRAME 0 1358665187 1113 0 0
FRAME 0 1358665187 1082 0 0
FRAME 49652777 1358665187 1107 0 0
FRAME 49659722 1358665187 1081 0 0
FRAME 58319444 249888359 1283 0 0
FRAME 58680555 3108222847 1285 0 0
FRAME 58986111 530648222 1279 0 0
FRAME 66000000 2701712700 10659 0 0
FRAME 104166666 1358665187 1168 0 0
FRAME 249753832 1358665187 285 0 0
FRAME 0 1358665187 1113 0 0
FRAME 0 1358665187 1086 0 0
FRAME 49652777 1358665187 1103 0 0
FRAME 49659722 1358665187 1105 0 0
FRAME 58319444 249888359 1264 0 0
FRAME 58680555 3108222847 1287 0 0
FRAME 58986111 530648222 1290 0 0
FRAME 66000000 2701712700 10664 0 0
FRAME 104166666 1358665187 1171 0 0
FRAME 249753832 1358665187 278 0 0
FRAME 0 1358665187 1113 0 0
FRAME 0 1358665187 1113 0 0
FRAME 49652777 1358665187 1098 0 0
FRAME 49659722 1358665187 1107 0 0
FRAME 58319444 249888359 1262 0 0
FRAME 58680555 3108222847 1288 0 0
FRAME 58986111 530648222 1316 0 0
FRAME 66000000 2701712700 10643 0 0
FRAME 104166666 1358665187 1170 0 0
FRAME 249753832 1358665187 282 0 0
FRAME 0 1358665187 1108 0 0
FRAME 0 1358665187 3485 0 3
FRAME 49652777 1358665187 1096 0 0
FRAME 49659722 1358665187 1110 0 0
FRAME 58319444 249888359 1271 0 0
FRAME 58680555 3108222847 1279 0 0
FRAME 58986111 530648222 1320 0 0
FRAME 66000000 2701712700 10648 0 0
FRAME 104166666 1358665187 1167 0 0
FRAME 249753832 1358665187 278 0 0
FRAME 0 1358665187 1114 0 0
FRAME 0 1358665187 1093 0 0
FRAME 49652777 1358665187 1100 0 0
FRAME 49659722 1358665187 1103 0 0
FRAME 58319444 249888359 1254 0 0
FRAME 58680555 3108222847 1295 0 0
FRAME 58986111 530648222 1324 0 0
FRAME 66000000 2701712700 10646 0 0
FRAME 104166666 1358665187 1175 0 0
FRAME 249753832 1358665187 282 0 0
FRAME 0 1358665187 1106 0 0
FRAME 0 1358665187 1110 0 0
FRAME 49652777 1358665187 1079 0 0
FRAME 49659722 1358665187 1103 0 0
FRAME 58319444 249888359 1286 0 0
FRAME 58680555 3108222847 1259 0 0
FRAME 58986111 530648222 1310 0 0
FRAME 66000000 2701712700 11598 0 1
FRAME 104166666 1358665187 1172 0 0
FRAME 249753832 1358665187 300 0 0
FRAME 0 1358665187 1093 0 0
FRAME 0 1358665187 1111 0 0
FRAME 49652777 1358665187 3093 0 0
FRAME 49659722 1358665187 1101 0 0
FRAME 58319444 249888359 1287 0 0
FRAME 58680555 3108222847 1272 0 0
FRAME 58986111 530648222 1297 0 0
FRAME 66000000 2701712700 10662 0 0
FRAME 104166666 1358665187 1147 0 0
FRAME 249753832 1358665187 301 0 0
FRAME 0 1358665187 1117 0 0
FRAME 0 1358665187 1086 0 0
FRAME 49652777 1358665187 1105 0 0
FRAME 49659722 1358665187 1080 0 0
FRAME 58319444 249888359 1280 0 0
FRAME 58680555 3108222847 1292 0 0
FRAME 58986111 530648222 1296 0 0
FRAME 66000000 2701712700 10659 0 0
FRAME 104166666 1358665187 1171 0 0
FRAME 249753832 1358665187 278 0 0
FRAME 0 1358665187 1110 0 0
FRAME 0 1358665187 1097 0 0
FRAME 49652777 1358665187 1103 0 0
