ELF sha256=a3901c1a2407335e9841fdbeba4beb7b7ee56a2889551b3961e79568a68ec5b5
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2099742 samples=0
PC CASE effect=ScanSweep period_us=997 frames=416 elapsed_us=2107752 samples=2113
PC 40085497
PC 400849da
PC 400ffd6f
PC 4008548b
PC 40084e63
PC 400854ad
PC 4008548f
PC 40082d65
PC 4008d452
PC 4008341b
PC 4008d3d4
PC 4008343d
PC 40082d98
PC 40081c03
PC 400854ab
PC 4008d489
PC 4008b112
PC 400ffd74
PC 4000c271
PC 40083a5b
PC 400854a0
PC 40083c53
PC 40084e0f
PC 4008d52a
PC 400833e7
PC 4008d458
PC 40086abd
PC 40085497
PC 4000c26f
PC 40100ee8
PC 4008548d
PC 40082d4c
PC 40081bed
PC 4008d550
PC 4010180e
PC 40100f60
PC 4008b01d
PC 400854a8
PC 400833d2
PC 400854ab
PC 4008d4d9
PC 400833d2
PC 4008548b
PC 40100ffc
PC 400fc4cc
PC 400833c3
PC 400854ad
PC 40083d4f
PC 40101804
PC 40086ab9
PC 4008b0f0
PC 4008d554
PC 4008343f
PC 40083952
PC 40085491
PC 40086acd
PC 40085497
PC 4008d4b6
PC 400854a8
PC 4008d549
PC 4008a428
PC 4008d406
PC 400ffc3b
PC 4008548b
PC 4000c276
PC 4008d465
PC 400ffd5b
PC 4000c26f
PC 400833ce
PC 40085491
PC 4008548f
PC 40084c96
PC 40084d25
PC 40088410
PC 400854a0
PC 4000c26c
PC 4008548b
PC 40084a85
PC 4000c26a
PC 4008d3e9
PC 400fc712
PC 40085497
PC 400854ab
PC 4008d4cd
PC 4008498d
PC 400ffd69
PC 4008b13c
PC 4008548f
PC 40083413
PC 40082dbd
PC 40083b63
PC 40083513
PC 40085491
PC 40084d66
PC 4008383d
PC 400ffd74
PC 40082cad
PC 40086abd
PC 40085497
PC 40085491
PC 40100fe1
PC 4000c26f
PC 400833b8
PC 40082ca5
PC 40083ada
PC 40085497
PC 4008b02c
PC 400ffd71
PC 40083447
PC 4008351d
PC 4008d420
PC 4008548b
PC 4008d4b6
PC 40088418
PC 40083894
PC 40086ad0
PC 4008d423
PC 400849ae
PC 40085497
PC 400ffc36
PC 40101011
PC 4000c276
PC 400833e2
PC 40082ca9
PC 40085497
PC 40082dc2
PC 4008b232
PC 400854a0
PC 4000c26a
PC 40085497
PC 40083b2d
PC 40083c65
PC 4010109e
PC 40084e63
PC 40083868
PC 400ffc30
PC 40083518
PC 40086ad0
PC 40085491
PC 400854a8
PC 40100f57
PC 4008b056
PC 40083413
PC 400854a2
PC 40083a8b
PC 40082ca9
PC 4008549b
PC 40085499
PC 400833be
PC 400833ce
PC 40083b60
PC 40083abd
PC 4008d458
PC 4008843d
PC 4008d3f8
PC 400833c8
PC 40082dba
PC 40084a18
PC 400854a8
PC 401010a1
PC 40084e1c
PC 400838b5
PC 4008d45e
PC 40087edb
PC 4008d458
PC 40083447
PC 4008548b
PC 4008d4cb
PC 400833f5
PC 4008d43b
PC 40087e9c
PC 4008d4cb
PC 40083b6c
PC 40081bda
PC 40084abf
PC 4000c276
PC 4008d543
PC 4008548b
PC 400833e2
PC 40083cdd
PC 400ffd74
PC 40085491
PC 4008382a
PC 40086ad0
PC 40085491
PC 40083b25
PC 40082d4c
PC 4008b27b
PC 40088413
PC 4008d499
PC 40086abd
PC 40083437
PC 40082ca5
PC 40082ca7
PC 4000c280
PC 4008d489
PC 40087ec2
PC 4008d417
PC 40085499
PC 4008d3cc
PC 400ffd7d
PC 400854a0
PC 4000c280
PC 4008d3e3
PC 400ffd69
PC 40082d3a
PC 400854a5
PC 40083d08
PC 4000c276
PC 40101b40
PC 40084d5e
PC 4008191a
PC 400ffc30
PC 4008548f
PC 40082d71
PC 40084a09
PC 4008549b
PC 40083c6f
PC 400854a8
PC 400833dd
PC 400ffd7d
PC 400854a0
PC 40083d55
PC 40083c72
PC 40084d19
PC 40081945
PC 40086abd
PC 4000c283
PC 40083c65
PC 4008d52a
PC 40085491
PC 400ffd63
PC 40100f8a
PC 400833be
PC 400854ad
PC 40083b2a
PC 4008d4c2
PC 4008499f
PC 4008d489
PC 4008b0c2
PC 400ffd61
PC 400833c8
PC 400833fa
PC 40084ab6
PC 4000c280
PC 40100ead
PC 4008548f
PC 4008d458
PC 4008a401
PC 4008d426
PC 400ffc33
PC 40084a96
PC 4000c276
PC 4008d67b
PC 400ffd71
PC 40083435
PC 400854a2
PC 40082cad
PC 40086ab9
PC 4008d4d6
PC 40088413
PC 4008d461
PC 400854ad
PC 40085491
PC 4008d452
PC 40083511
PC 4010109e
PC 40084e6c
PC 4008d682
PC 40083b25
