ELF sha256=792948a395e04295bd5d21493b9acfab85c77298f1cca6acd9237d49ae755d57
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=390 elapsed_us=2002752 samples=0
PC CASE effect=ScanSweep period_us=997 frames=388 elapsed_us=2000103 samples=2006
PC 40084ace
PC 4008385a
PC 40086ad2
PC 4000c268
PC 4008549f
PC 400ffca7
PC 40088497
PC 4008ccdc
PC 400854a1
PC 40082d4c
PC 400fb489
PC 4008389c
PC 400854b0
PC 40082d5f
PC 40082dc5
PC 400854b0
PC 40082cb1
PC 40083cf2
PC 4008549f
PC 4008549f
PC 40083a9e
PC 40084a90
PC 40083414
PC 40084c87
PC 40084d5a
PC 4008549f
PC 4008cd27
PC 400ffd62
PC 4008849e
PC 4008ce53
PC 4008b280
PC 40081968
PC 4008ce50
PC 40085499
PC 40085497
PC 40085493
PC 4000c26f
PC 4008395c
PC 40082dc5
PC 40085493
PC 40082dd2
PC 40085499
PC 40083ce5
PC 40085495
PC 40084ad3
PC 400854b3
PC 400854a8
PC 40084ad3
PC 400854a5
PC 4008341b
PC 400854b0
PC 4008ce3a
PC 400feae3
PC 4000c26c
PC 40083c80
PC 400ffcdd
PC 4000c276
PC 40084cd3
PC 400ffcb6
PC 40087eac
PC 4008cf92
PC 4008b2f0
PC 40088a94
PC 4008cd65
PC 400854a1
PC 4000c271
PC 400fe9a4
PC 400854a5
PC 4000c26a
PC 400854b0
PC 4008354a
PC 4008549f
PC 40085493
PC 400854b0
PC 40081be2
PC 4008cd2d
PC 400854b5
PC 40083b8b
PC 4008ce3a
PC 4008549f
PC 40084a69
PC 400833ef
PC 40084adf
PC 40085497
PC 4000c280
PC 400854a3
PC 400ffd57
PC 4000c276
PC 401008b1
PC 400ffd3d
PC 40088bab
PC 4008cf95
PC 4008b269
PC 400fb3d7
PC 4008cd71
PC 400854a5
PC 4000c268
PC 400854a8
PC 400feae3
PC 4000c280
PC 400833ef
PC 400854b5
PC 400854a5
PC 400854a5
PC 40082dc5
PC 40083c61
PC 4008cd2a
PC 400833da
PC 40084a06
PC 400854b0
PC 4000c26f
PC 400ffc09
PC 40084e88
PC 40084ceb
PC 400ffce0
PC 400fb47e
PC 4008ccdc
PC 40085497
PC 40088c10
PC 4008cd39
PC 400fe9af
PC 4000c271
PC 400feae5
PC 40088e3a
PC 40085495
PC 400854ad
PC 4008cd3f
PC 40085493
PC 4008ce53
PC 4008cd54
PC 400854a5
PC 4008ccf3
PC 40085499
PC 4008344c
PC 4008cd84
PC 40086abd
PC 4000c26a
PC 40084c9e
PC 400ffd73
PC 40083515
PC 400ffc48
PC 40084e24
PC 4008190c
PC 400fead7
PC 40088c36
PC 4008ccf9
PC 40085497
PC 4000c26c
PC 40086ac3
PC 400833b9
PC 40085497
PC 40085499
PC 40083b49
PC 400879e9
PC 40088e2b
PC 4008cddd
PC 4008549f
PC 4008cddb
PC 400833d8
PC 4008549f
PC 40086ac1
PC 4008343f
PC 400ffc59
PC 40084e2f
PC 4008cd05
PC 400ffc92
PC 40087ed5
PC 4008ce60
PC 40085499
PC 4000c280
PC 4008390b
PC 40083449
PC 400854aa
PC 400854b5
PC 4008cd21
PC 40083515
PC 400854b5
PC 40085499
PC 4008cd2d
PC 400854ad
PC 4000c2e0
PC 40085499
PC 40083520
PC 4008cd51
PC 40087ec1
PC 4000c472
PC 40088423
PC 4008cf97
PC 400fe9a4
PC 4000c268
PC 4008549f
PC 400854a5
PC 400854b0
PC 400833d8
PC 40083b8b
PC 4008cd78
PC 400854a8
PC 40083b27
PC 4008cd87
PC 40083aa3
PC 4008cddb
PC 40082d64
PC 400854b0
PC 40082caf
PC 4008354a
PC 40085497
PC 400854b3
PC 400854b5
PC 40083c77
PC 4008cd2d
PC 40084d92
PC 4008c4d6
PC 4008cd2d
PC 400ffd7c
PC 40087eb3
PC 40083838
PC 40085493
PC 400fb489
PC 40083848
PC 40086abd
PC 40083439
PC 40082d76
PC 4008549f
PC 40083515
PC 400879e9
PC 40083515
PC 40083b71
PC 40085493
PC 40083952
PC 40085499
PC 4008549f
PC 40084a45
PC 40083cf5
PC 400854b0
PC 40084a1b
PC 400854b3
PC 400833cb
PC 400849b6
PC 40082cb1
PC 400854a5
PC 40083520
PC 4008cd1e
PC 4008b2f0
PC 40085493
PC 4008cde0
PC 40084e85
PC 4008cd18
PC 400fe9af
PC 4008849c
PC 4008cd16
PC 400fe9af
PC 40083447
PC 400854b3
PC 400fe9a4
PC 40083447
PC 40082d81
PC 400854b5
PC 4008549f
PC 40082d42
PC 4008395a
PC 40085497
PC 40082dcd
PC 40084ad9
PC 40083ced
PC 40083ac2
PC 40084a84
PC 400833f5
PC 40083c75
PC 400854b5
PC 4000c268
PC 40084d0f
PC 40084d54
PC 40083824
PC 4008b2f0
PC 40088b62
PC 4008cde3
PC 400833b9
PC 40082d81
PC 40082cbc
PC 4000c273
PC 40082d6a
PC 40083a61
PC 40082cd5
PC 400854b0
PC 400854a8
PC 40083cfd
PC 40085499
PC 4008cd7b
PC 40083402
PC 40085493
PC 40082cc4
PC 4000c273
PC 40085499
PC 400ffd91
PC 40086ac3
PC 4008cdc6
PC 40084d60
PC 400883f4
PC 400feadd
PC 40087ec1
PC 4008cd16
PC 4008cdec
PC 400854a5
PC 4000c26a
PC 4008b2d2
PC 40085495
PC 4008549f
PC 40083517
PC 40083b2b
PC 40082d6d
PC 40083952
PC 40082dc8
PC 40085499
PC 4008ccdc
PC 400833c9
PC 4010058e
PC 40082dc8
PC 4000c276
PC 40084cb9
PC 40084d54
PC 40083525
PC 4008cd6b
