ELF sha256=20064242af237a6d10a23c63fa89e8df027e76661b80657baf9b932256f4c4eb
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2102852 samples=0
PC CASE effect=ScanSweep period_us=997 frames=416 elapsed_us=2110874 samples=2117
PC 400833da
PC 40084a82
PC 400833da
PC 400ffb6c
PC 4008d4ea
PC 400854a0
PC 400854ad
PC 40100e87
PC 4008841b
PC 4008d639
PC 4008548b
PC 400854a0
PC 40083b25
PC 4008d4fa
PC 400854ab
PC 4000c280
PC 40084ccb
PC 40100f38
PC 4008afd9
PC 40086ab7
PC 400879e1
PC 4008549b
PC 40082dc2
PC 400854a8
PC 40084a58
PC 40086ab5
PC 40100dd1
PC 40100eae
PC 40084e75
PC 40081906
PC 40083413
PC 400854ad
PC 40083400
PC 40081bfd
PC 4008d62f
PC 40084a64
PC 400ffc9a
PC 4000c268
PC 40083c53
PC 4008d3e3
PC 4008196e
PC 4008d431
PC 40086aca
PC 40083431
PC 4008351d
PC 40083b1f
PC 4008d3a9
PC 40082d6e
PC 40085497
PC 40084a13
PC 4000c276
PC 40084dd0
PC 4008d431
PC 40100f3b
PC 400884db
PC 4008a3d3
PC 4000c280
PC 4008548b
PC 4008548b
PC 40081bed
PC 40082cd5
PC 4008d380
PC 400ffb6c
PC 400833e7
PC 400ffcad
PC 4008d3f2
PC 400818f5
PC 4008d506
PC 400854a0
PC 400ffcb3
PC 4000c271
PC 40083a59
PC 40083b1f
PC 4008d502
PC 40081bda
PC 40084ac2
PC 40083437
PC 40101a77
PC 40100f41
PC 4008b120
PC 400838f5
PC 400854a2
PC 400ffcb3
PC 400854ad
PC 400854a0
PC 400854a2
PC 4008548b
PC 4008548b
PC 400ffcab
PC 40084ce6
PC 40100f3b
PC 4008d3d7
PC 40086ad0
PC 400854a8
PC 40085497
PC 400833d2
PC 4008d63b
PC 40086ac4
PC 40084a64
PC 400ffcb3
PC 4008343f
PC 40088452
PC 40083873
PC 400ffcb9
PC 400833f3
PC 400854ad
PC 40083b63
PC 40081bd8
PC 400849e2
PC 400879e1
PC 4000c280
PC 400854a0
PC 4008b16e
PC 400838c6
PC 400ffc9a
PC 400833e2
PC 4008b25a
PC 40082cb4
PC 40082d44
PC 400849b3
PC 40082cc7
PC 4008548d
PC 40100f4d
PC 4008b116
PC 4008d487
PC 4008549d
PC 400833ce
PC 40083957
PC 40083b86
PC 40082d5a
PC 400ffc97
PC 40084a5b
PC 40085491
PC 4008d38b
PC 40100f35
PC 4008848f
PC 40083861
PC 40083425
PC 400839fb
PC 40082dba
PC 4008548b
PC 40083d31
PC 400ffcab
PC 40083542
PC 400854a8
PC 4008d40f
PC 40084d1f
PC 400854ad
PC 40083431
PC 40085497
PC 40085499
PC 40083b21
PC 40084995
PC 40085497
PC 40085497
PC 40083511
PC 4008d3d1
PC 40083858
PC 400ffca5
PC 400833c3
PC 4008342c
PC 400833f1
PC 4008b14e
PC 4008d3f2
PC 4008549d
PC 4000c260
PC 40085499
PC 4008d4ea
PC 40083af1
PC 40084a5b
PC 40085497
PC 400ffcab
PC 4008b26a
PC 4008d4e6
PC 40085491
PC 4000c268
PC 40085491
PC 40083b77
PC 400849e7
PC 400ffcad
PC 4000c276
PC 40101a72
PC 40084d52
PC 40086ad0
PC 4008343d
PC 40082dba
PC 40082cad
PC 40083b2f
PC 40084a2e
PC 400879e1
PC 4008343d
PC 4008343d
PC 40100fd4
PC 400fc408
PC 4008d3c5
PC 400ffca5
PC 4008548b
PC 40083952
PC 400854a2
PC 40082d3a
PC 4008498d
PC 4008d508
PC 40085497
PC 40100e36
PC 40100f71
PC 40088424
PC 40081971
PC 4008d4ff
PC 4008351d
PC 40082d74
PC 40082ca5
PC 40083b83
PC 40082cb4
PC 4008d636
PC 40085497
PC 4008343d
PC 4000c271
PC 40101a7c
PC 4008b16b
PC 40083894
PC 400ffc97
PC 400ffcad
PC 4000c268
PC 40085497
PC 40082dba
PC 400854a8
PC 40101740
PC 40084a9a
PC 4008b2a8
PC 40100ee6
PC 40084e1c
PC 4008b045
PC 400838fb
PC 40085497
PC 40082d44
PC 400854a8
PC 40083b6f
PC 400854ad
PC 40081bf8
PC 400833d4
PC 4000c276
PC 40100fe4
PC 40100f86
PC 4008b14e
PC 400833ed
PC 4000c280
PC 40082d4c
PC 40082d0e
PC 40083b3c
PC 40084ade
PC 400854a0
PC 4008350d
PC 4000c280
PC 40084d04
PC 400818f3
PC 4008389a
PC 400854ad
PC 400854a0
PC 400854a0
PC 400854a5
PC 4008548f
PC 40084acb
PC 400854a2
PC 400833e7
PC 40084d6b
PC 4008b037
PC 4008d443
PC 400ffcab
PC 4000c260
PC 400854a0
PC 4008d443
PC 40083c7b
PC 40084a46
PC 40085491
PC 4008d41f
PC 40100f8b
PC 4008b0e1
PC 40083865
PC 40086ab5
PC 4008394c
PC 40082dba
PC 40081bf5
PC 40083d1f
PC 400854ad
PC 4008a3df
PC 40100fda
PC 40100f38
PC 40088443
PC 4008d419
PC 40085497
PC 4008548d
PC 40082cb4
PC 40081bf5
PC 4008d428
PC 40083a8f
PC 4008548b
PC 4000c280
PC 40084cc3
PC 40100e8d
PC 4008548b
PC 400ffc97
PC 40085499
PC 40082d4a
PC 400833b1
PC 400854ad
PC 4010174f
PC 4008d487
PC 40086acd
PC 4000c268
PC 40084cd1
PC 400818e4
PC 4008d42e
PC 400ffb77
PC 400833e7
PC 40082d74
PC 4008d62c
PC 4008548b
PC 4008d3c2
PC 40082cb7
PC 4008340c
PC 40084d6e
PC 4008b037
PC 4008d44b
PC 400ffcb0
PC 4000c280
PC 40081bd8
PC 40083cf7
PC 40083a8b
PC 40084a0e
PC 400ffcb9
PC 4008d504
PC 40084e06
PC 40081942
PC 40083903
PC 40083415
PC 40083a64
PC 40083d08
PC 40083c6f
PC 4008d3a6
PC 400ffcb0
PC 4008af84
PC 4008b0e1
PC 4008d3d7
PC 400854ab
PC 4000c268
PC 4008b26a
PC 40085497
PC 40084acb
PC 4008548b
PC 4000c276
PC 40084d07
PC 400818b8
PC 4008d3ac
PC 400ffc97
PC 40085499
PC 4000c276
PC 40083b7d
PC 4008d636
PC 40083c6a
PC 40084acb
PC 400ffcb3
PC 40100fd7
PC 40100e5d
PC 40087e98
PC 400818f5
PC 4008d45f
PC 4000c276
PC 400854ad
PC 40082d0e
PC 400854a2
PC 4008d3d7
PC 4008d440
PC 4008548f
PC 400833ed
PC 4000c276
PC 40086acd
PC 400fc649
PC 4008383a
PC 4008d3d7
PC 400854a8
PC 4008350d
PC 400854ab
PC 40083b60
PC 4008d3dd
PC 4008548f
