ELF sha256=43b04ae797d3c335ed62400121733861f09007320c86f710f233e5dccff3f23d
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2092916 samples=0
PC CASE effect=ScanSweep period_us=997 frames=416 elapsed_us=2100895 samples=2107
PC 40082cd3
PC 4008549d
PC 4008340a
PC 400854a3
PC 400ffba2
PC 400ffba2
PC 40081bf2
PC 4008d694
PC 4008d613
PC 4008d68e
PC 40083add
PC 400ffcdd
PC 4008385b
PC 40083969
PC 40083c68
PC 40081969
PC 400854a9
PC 40082d68
PC 4000c271
PC 4008840f
PC 4008d8c1
PC 40083524
PC 4008d213
PC 4000c273
PC 4008d642
PC 40084d49
PC 400ffce9
PC 40082cbe
PC 400854a3
PC 400854a3
PC 40082d63
PC 40083d2b
PC 400854b4
PC 400854a3
PC 400854ac
PC 4008549b
PC 40100e99
PC 40086acb
PC 400833ee
PC 400ffba2
PC 400818d5
PC 4000c276
PC 40083ced
PC 400ffcca
PC 40100ea5
PC 400854a7
PC 400ffb9c
PC 4000c280
PC 400fc67e
PC 400854a3
PC 40082cb1
PC 4008d63c
PC 4008d8be
PC 40083a07
PC 40083d5e
PC 4008844c
PC 40085499
PC 40081be9
PC 4008d650
PC 40084cfe
PC 400ffb9c
PC 40081c01
PC 4000c276
PC 4008d1f9
PC 4000c280
PC 40085497
PC 40100f16
PC 40086ac1
PC 400854b9
PC 40083aa2
PC 400fc438
PC 4000c276
PC 400854b7
PC 40082cc0
PC 4008d8c1
PC 4008a401
PC 400849dd
PC 40084c97
PC 4008d683
PC 40083956
PC 4008ae7f
PC 400fc5d5
PC 4000c26f
PC 400854a3
PC 40086ad0
PC 40100eba
PC 40082cd6
PC 400849b1
PC 400854a5
PC 40081960
PC 4008549b
PC 400854a5
PC 40084e12
PC 400854a5
PC 40083b83
PC 4008d715
PC 4008d659
PC 4008549d
PC 400854a3
PC 4000c276
PC 400818c4
PC 40083d37
PC 4008549b
PC 40087ed6
PC 400854b4
PC 40082cd9
PC 40100fa7
PC 400ffcdd
PC 4008549d
PC 4008d67a
PC 4010100a
PC 40085497
PC 40083c7b
PC 4000c280
PC 4008849b
PC 40083427
PC 40086adc
PC 40100f0a
PC 400ffba7
PC 40083956
PC 40084ad7
PC 4008d64d
PC 40085497
PC 400854a3
PC 4000c26f
PC 4008d1e9
PC 4008d78a
PC 400ffccf
PC 40084d31
PC 4008549b
PC 40083b2b
PC 4010100a
PC 400838d8
PC 40082da4
PC 40085497
PC 400833ca
PC 400833fb
PC 400854b9
PC 40082dc6
PC 40100e96
PC 40086ad9
PC 40084ace
PC 40084cd1
PC 400838d8
PC 40082d9f
PC 40081c01
PC 4008d1e4
PC 400854a3
PC 4008d6c5
PC 400854b4
PC 40084e86
PC 40085497
PC 40085499
PC 40100e84
PC 4008549d
PC 40083552
PC 4008aba8
PC 4008d686
PC 40086ad0
PC 4008549b
PC 40083434
PC 4008194e
PC 40082cbc
PC 400854b9
PC 40084d70
PC 400833f3
PC 40085497
PC 40100ecf
PC 400854b9
PC 40083971
PC 4008d642
PC 4008d8be
PC 40083424
PC 400ffba2
PC 400854b4
PC 4008d766
PC 400854a3
PC 4000c273
PC 400818db
PC 40082d80
PC 400854a3
PC 4000c26f
PC 4008343d
PC 4008d62b
PC 400833ca
PC 40084e81
PC 400833e0
PC 40082cde
PC 4008d707
PC 4008d6bc
PC 40083963
PC 40082d7a
PC 4008d237
PC 4000c276
PC 40082cd1
PC 400ffcc7
PC 40100faa
PC 40083960
PC 40084ad2
PC 40084cb7
PC 4008387f
PC 40085497
PC 400833d4
PC 40088422
PC 4008549d
PC 40083b2b
PC 4008d78a
PC 4008d6e1
PC 400854b7
PC 4008d8c1
PC 400ffccf
PC 40100ee1
PC 40082cc6
PC 4008499b
PC 4008549b
PC 400fc438
PC 40083449
PC 400833e6
PC 40084d16
PC 400ffcdd
PC 40082cc8
PC 4008549d
PC 4008d613
PC 4008549b
PC 4008d766
PC 400854a7
PC 40084d2f
PC 40083b2b
PC 40084ad7
PC 40084c9c
PC 4008d631
PC 400854b7
PC 4008a432
PC 40084e28
PC 400ffce3
PC 400879ed
PC 4010177f
PC 40083c5f
PC 400854b9
PC 40082dd1
PC 4000c268
PC 4008d297
PC 4000c268
PC 400854a3
PC 40084d67
PC 400ffba7
PC 40083960
PC 40084a1a
PC 4008390c
PC 40083a65
PC 40082d66
PC 400833ca
PC 40087ebc
PC 4008549b
PC 40084acb
PC 4008d718
PC 4008d625
PC 40085497
PC 4008343d
PC 4008d1c5
PC 40083526
PC 4008d790
PC 400854b4
PC 400854b9
PC 40085499
PC 400854b1
PC 40100e9f
PC 400854b9
PC 4008d625
PC 40084d00
PC 4008d619
PC 40082da4
PC 40083aa7
PC 40088414
PC 4000c280
PC 40083d0e
PC 400ffce9
PC 40100ebd
PC 4008549b
PC 40084af0
PC 40084cc0
PC 4008d790
PC 40082d58
PC 4000c280
PC 4008d26e
PC 4008343d
PC 4008d642
PC 400ffba2
PC 40085497
PC 40083b8f
PC 4008d6c5
PC 40084cb1
PC 40083901
PC 400854a3
PC 4000c280
PC 4008d22b
