ELF sha256=472dede0a3d37fd5218fbee9944f507c864f3d34d390393abaf077942cbe3264
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=390 elapsed_us=2002719 samples=0
PC CASE effect=ScanSweep period_us=997 frames=388 elapsed_us=2000080 samples=2005
PC 400854ad
PC 400fbafd
PC 4000c268
PC 400fce35
PC 40084e2f
PC 40084aa8
PC 400854a8
PC 40084ceb
PC 40084d98
PC 40083838
PC 40084d9b
PC 400818e0
PC 40085497
PC 4000c260
PC 400fb9ca
PC 40083451
PC 40085497
PC 40081be0
PC 4008cd36
PC 40086abd
PC 40085497
PC 40083ac5
PC 40083c55
PC 40083520
PC 400fd8c0
PC 40086ad8
PC 4008343f
PC 400fcc2c
PC 400fcd1e
PC 40088bab
PC 4008b211
PC 40084e5c
PC 4008192d
PC 400854a3
PC 40083522
PC 400854a5
PC 400854b3
PC 400833c0
PC 40083a03
PC 40085493
PC 40083b8b
PC 400833c6
PC 40081be9
PC 40083d04
PC 40083c6d
PC 40084a3c
PC 40085497
PC 4008549f
PC 400849ef
PC 4008ce4e
PC 40085499
PC 400fbb03
PC 4008ce42
PC 40086ad8
PC 4000c280
PC 40084cc8
PC 40085493
PC 40083457
PC 40084d04
PC 400fcd82
PC 40088c16
PC 4008b28c
PC 4008549f
PC 4008192d
PC 4008390b
PC 40083451
PC 40082d42
PC 400fbaef
PC 400854b5
PC 40082d54
PC 40083445
PC 400854a5
PC 400879ec
PC 400854a3
PC 400854b5
PC 4008cd21
PC 400854a8
PC 40081be5
PC 40082d76
PC 40084a36
PC 400fbafd
PC 40083432
PC 400854b5
PC 400833da
PC 400854ad
PC 4008cdcf
PC 40084e7d
PC 400fb9cf
PC 4008cd57
PC 400fcdb4
PC 40088c03
PC 4008cd42
PC 4008b298
PC 400f8268
PC 4008cd68
PC 4008549f
PC 4000c268
PC 400854a3
PC 400fbb03
PC 4000c280
PC 400833ef
PC 400854b5
PC 400854b0
PC 400854b3
PC 400879e9
PC 40083ab6
PC 4008cd39
PC 400833e8
