ELF sha256=c18d0e604836a3529779202ca0e548124aac2354621328bce6664d6777fc8520
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=390 elapsed_us=2002756 samples=0
PC CASE effect=ScanSweep period_us=997 frames=388 elapsed_us=2000071 samples=2005
PC 40102fc8
PC 40086ad8
PC 40083414
PC 40101ea3
PC 40083b27
PC 40082d7c
PC 40083b37
PC 4008cd63
PC 40101ea3
PC 4008549f
PC 40083c64
PC 4008ccfd
PC 400833cd
PC 40086ad8
PC 401030c0
PC 40101ea9
PC 4008cd9d
PC 4008844b
PC 400838ae
PC 40085493
PC 40083873
PC 40101ebf
PC 4000c276
PC 40101d78
PC 40085499
PC 40082d42
PC 400854b0
PC 4008549f
PC 40083d36
PC 4008499d
PC 4008c4b1
PC 400854b5
PC 4008cd1a
PC 40101ea3
PC 4000c280
PC 401031f6
PC 40101ea3
PC 4000c26f
PC 40084c9b
PC 401030e3
PC 4008849c
PC 4008cd09
PC 401030e0
PC 40088bb7
PC 400838ae
PC 40086ac7
PC 400fe61c
PC 40083903
PC 40101ea3
PC 40085499
PC 400854b0
PC 400854b0
PC 40083404
PC 40085495
PC 40101d83
PC 400854a3
PC 4000c276
PC 400854b5
PC 40081be0
PC 40083b77
PC 40085493
PC 4008b269
PC 4008cf96
PC 40081c02
PC 40084a30
PC 40101eab
PC 4000c280
PC 4008ccee
PC 400854b0
PC 4008354e
PC 40101eb7
PC 4008cf96
PC 40101ea3
PC 4000c276
PC 40084cb3
PC 4008ce3e
PC 40084e6b
PC 40084c87
PC 40103144
PC 40088b73
PC 4008cd7c
PC 400833d6
PC 4008386b
PC 40101ec9
PC 40083515
PC 400854a1
PC 400854a5
PC 4000c265
PC 400854ad
PC 40082cb5
PC 40085499
PC 40082d76
PC 4008b2ad
PC 40083d07
PC 40085493
PC 40084a22
PC 40101d78
PC 4000c280
PC 4008cd09
PC 40101d78
PC 400854b5
PC 40103042
PC 400854b0
PC 40083c8c
PC 401030da
PC 40088ac7
PC 4008cd2e
PC 4008549f
PC 4008383a
PC 40086abd
PC 4000c26c
PC 400854a5
PC 40083b27
PC 400854b0
PC 400833f9
PC 40083b42
PC 40083d0d
PC 40083ab6
PC 40081be2
PC 40082dc2
PC 400849ef
PC 40101d83
PC 4000c276
PC 4008b2ad
PC 400833e2
PC 40084dde
PC 4010316e
PC 40088c36
PC 40085493
PC 40088bcf
PC 4008cf8f
PC 400854aa
PC 4000c26f
PC 40101d7e
PC 400833ef
PC 400854b0
PC 4008343f
PC 40083b42
PC 4008cd88
PC 4008351b
PC 400854b5
PC 40082d42
PC 400849d9
PC 40101ec5
PC 40085495
PC 40084a90
PC 40083451
PC 40101eab
PC 4010305d
PC 4000c26a
PC 40103c88
PC 40084d27
PC 400fe7ab
PC 400854a1
PC 4008b258
PC 4008cd46
PC 40086abd
PC 4000c280
PC 40101eb7
PC 400854aa
PC 40082d4a
PC 40082cad
PC 40082cba
PC 40081bdc
PC 4008cd49
PC 4008cd1a
PC 40083a9e
PC 4008ce3e
PC 400833e8
PC 40083c8f
PC 40101ec2
PC 4000c26a
PC 4010301a
PC 40084e35
PC 4008cd66
PC 401030ef
PC 40088c03
PC 4008cf99
PC 40083445
PC 40082d5a
PC 40086ac7
PC 400854b5
PC 40082ccf
PC 40085493
PC 40083aa8
PC 40088e48
PC 40083c83
PC 4008cdf3
PC 40083439
PC 40086ad5
PC 40103109
PC 40083439
PC 401031f0
PC 401030ef
PC 400fe85d
PC 4008cdb0
PC 40103192
PC 40088acc
PC 4008cd77
PC 400854b5
PC 4008549f
PC 40101ea3
PC 4008549f
PC 40082dcd
PC 40085499
PC 400854a5
PC 400854a5
PC 40083954
PC 40082cb8
PC 40082dd2
PC 40103960
PC 40083b68
PC 40085493
PC 40101ebc
PC 4008cd66
PC 400854b5
PC 40088e66
PC 4008cd8b
PC 400854b5
PC 4000c280
PC 400854aa
PC 401030e3
PC 400833f5
PC 40083c83
PC 4008cdca
PC 40084d6e
PC 400818d1
PC 4010304b
PC 40084e59
PC 4008386b
PC 40101d7e
PC 40085493
PC 4008cd49
PC 4008cd8b
PC 40085493
PC 40083428
PC 4008395f
PC 40086ad2
PC 400833b9
PC 400854b5
PC 40083515
PC 40083b85
PC 4008c4c3
PC 4008395f
PC 40083ce9
PC 40083c5f
PC 4008cda0
PC 40083408
PC 4010396d
PC 40082cba
PC 40083519
PC 400854b5
PC 401030b4
PC 400833ef
PC 40086ad5
PC 4008ce52
PC 40084dc3
PC 400818c7
PC 4008cd9d
PC 40084d15
PC 4008840d
PC 4008cd6c
PC 40086ad5
PC 4008840b
PC 40085493
PC 40083525
PC 400854b5
PC 40085499
PC 40085497
PC 400854b0
PC 40083b44
PC 400854b0
PC 40084a09
PC 4008c49c
PC 40084ad6
PC 40101ebf
PC 4000c268
PC 4008cf8c
PC 40087ea0
PC 40085497
PC 4008cd1a
PC 40084d2d
PC 40088b5f
PC 40085497
PC 40087eca
PC 4008383a
PC 40086ac1
PC 400833f5
PC 40082d6d
PC 4008549f
PC 4000c280
PC 40083402
PC 40083b8e
PC 40083d42
PC 40082cda
PC 4008549f
PC 40081c08
PC 400849df
PC 40085493
PC 40083c77
PC 4008cd11
PC 40085497
PC 400833ea
PC 40084dd8
PC 4008b260
PC 40083520
PC 4010302a
PC 40084da4
PC 4008196a
PC 40086ad5
PC 40088b42
PC 4008cd31
PC 40086ac3
PC 40083430
PC 400833d8
PC 400854a3
PC 400879e9
PC 400854b5
PC 400879e9
PC 40083c8c
PC 40083b68
PC 4008cddf
PC 40101ea3
PC 4008cd6f
PC 400833ea
PC 40086ad8
PC 40082cf9
PC 4000c268
PC 40084c87
PC 40084d27
PC 400854a5
PC 4008cdea
PC 40084e3b
PC 40083848
PC 40086ad8
PC 4008b2e5
PC 40086ac5
PC 4000c26c
PC 40086ad5
PC 400854b0
PC 40082d67
PC 40085493
PC 40083d48
PC 40084ae4
PC 40086ad5
PC 40086ac1
PC 400854a3
PC 400854b0
PC 40103075
PC 400fe85d
PC 4008cd40
PC 40087ed8
PC 4008cddf
PC 40101ea3
PC 4000c265
PC 40086ad5
PC 400833e2
PC 400854a8
PC 400833ea
PC 40081be7
PC 40083d1c
PC 40101eb7
PC 40083b77
PC 4008cd03
PC 40083c77
PC 4008cda0
PC 4008b2c9
PC 400854a1
PC 4008cf99
PC 400833ea
PC 40086ac1
PC 4008cd1a
PC 4008343d
PC 400854b0
PC 4008cd3d
PC 40103147
PC 40088ac7
PC 4008cd72
PC 40103183
PC 40088be8
PC 4008cd31
PC 40086acc
PC 4008549f
PC 40083824
PC 400854b0
PC 40101d7e
PC 4000c280
PC 4008cd22
PC 40086acc
PC 400833c0
PC 40082dd2
PC 40082cb1
PC 4008549f
PC 400854a1
PC 40082cda
PC 40083b44
PC 40081bde
PC 4008b266
PC 400854a5
PC 40081bfd
PC 40084ad3
PC 40082caf
PC 400833c9
PC 400849b6
PC 40085493
PC 4008354a
PC 40085493
PC 4008cd46
PC 400833c6
PC 40086ac3
PC 4008cd8e
PC 40084e32
PC 4008cd09
PC 4008ce52
PC 40084e44
PC 400818d1
PC 4008cd69
PC 40101eb1
PC 400fe7b8
PC 4008cd06
PC 40086aca
PC 400833fb
PC 40082d9b
PC 40085495
PC 4000c26a
PC 40086ad8
PC 40083b2b
PC 40083d0d
PC 40088e20
PC 40082cda
PC 40083c83
PC 4008cd7f
PC 40101ea3
PC 40083520
PC 40084aa0
PC 400833b9
PC 40085497
PC 40103120
PC 40088b64
PC 401030e3
PC 40088c0a
PC 4008cd58
PC 40101ea3
PC 40085493
PC 40101ec5
PC 40083439
PC 4008549f
PC 400854a5
PC 40083b27
PC 40083a03
PC 40082dc2
PC 40082cdd
PC 400854aa
PC 4008ccf7
PC 4008cce5
PC 40083c83
PC 4008cd85
PC 40085499
PC 4008549f
PC 40088e4b
PC 4008342a
PC 40084dde
PC 401030ba
PC 40088bb1
PC 4008cd5e
PC 40084d27
PC 40088b32
PC 4008cd1a
PC 40101d78
PC 4000c268
PC 4008cd0f
PC 40101ea9
PC 4000c26c
PC 40082d48
PC 40085493
PC 4008343d
PC 40085497
PC 40083b37
PC 4008cde7
PC 40085493
PC 400854b5
PC 40082d4c
PC 40084ae9
PC 40085493
PC 4000c26a
PC 4008c732
PC 40083515
PC 40083c77
PC 4008ce4a
PC 40087ea0
PC 4000c474
PC 4010316e
PC 40088b4b
PC 4008cddf
PC 400833bb
PC 400879e9
PC 40085495
PC 4000c273
PC 400854aa
PC 40083b77
PC 40083d57
PC 400854b0
PC 40082cd5
PC 40083ad6
PC 40084aa0
PC 400833ef
PC 4008cd4f
PC 40101eb1
PC 400854b0
PC 4008ce43
PC 40087eac
PC 401031dd
PC 40084e56
PC 4008cd63
PC 40101ebf
PC 4000c276
PC 4008c49c
PC 4000c280
PC 40086ad8
PC 40083b7a
PC 40083d42
PC 40084af1
PC 40082cc2
PC 400854a8
PC 400849c1
PC 40082cb1
PC 400833f5
PC 40084aec
PC 40085493
PC 4000c276
PC 40103c88
PC 4010317d
PC 40083439
PC 40084cf4
PC 40084d2b
PC 40088b1a
PC 4008cd66
PC 40084e5c
PC 4008195f
PC 4008549f
PC 400833c6
PC 4008343f
PC 4008ce48
PC 40101ec7
PC 400833f5
PC 40083525
PC 40083404
PC 4008c483
PC 40082d7c
PC 400854a5
PC 40083b68
PC 4008cd4c
PC 400854ad
PC 40085493
PC 4008cd25
PC 40083c6d
PC 40084a57
PC 40086ad5
PC 40083a97
PC 40084a54
PC 40086ad8
PC 40083449
PC 40103024
PC 40085499
PC 400854b0
PC 4008cd25
PC 401030b1
PC 4008849c
PC 401031f6
PC 40103186
PC 40088c10
PC 4008cd88
PC 400854b5
PC 400fe852
PC 4008389c
PC 40101d7e
PC 4000c268
PC 40085495
PC 4008b28c
PC 400854a5
PC 4008395a
PC 40082cc4
PC 400854a5
PC 40084a09
PC 4008cce0
PC 40081bdc
PC 40084aec
PC 40101ec5
PC 4000c268
PC 4008cd0c
PC 40101eb1
PC 4000c280
PC 40085493
PC 401030fb
PC 4000c276
PC 40103c8f
PC 40084d54
PC 40088b23
PC 40101d83
PC 40088c45
PC 4008ce64
PC 400833dc
PC 40083445
PC 4008354e
PC 400833e2
PC 400854b5
PC 40085493
PC 4008cd22
PC 40086abd
PC 4008b2ad
PC 40083a97
PC 40084a36
PC 40085499
PC 4000c280
PC 40084de1
PC 400833e8
PC 40101ea3
PC 4008ce48
PC 40084e14
PC 40083879
PC 4010319a
PC 40088b15
PC 400854a8
PC 400833dc
PC 4008549f
PC 40086abf
PC 4000c26c
PC 400854b0
PC 40081bf2
PC 4008cd31
PC 40085493
PC 40083b77
PC 40083cf5
PC 400854a8
PC 4008cd1c
PC 40085493
PC 40083a93
PC 4008cd11
PC 400854a5
PC 40083454
PC 4008b29b
PC 4008354a
PC 40083c95
PC 401030d2
PC 400fe85a
PC 4008388d
PC 40084d33
PC 400818c0
PC 40101ea9
PC 40083420
PC 4008396d
PC 40086ad5
PC 40085493
PC 400854b0
PC 40083b88
PC 40082d5a
PC 4008395a
PC 40083ce9
PC 4008549f
PC 4008cd63
PC 400833ff
PC 400854b0
PC 40086ac1
PC 4000c26a
PC 40103c85
PC 40084da4
PC 40086ac3
PC 4008cf99
PC 400884e3
PC 4008cce5
PC 40085497
PC 4008b29b
PC 40101ec9
PC 40083517
PC 400854b0
PC 40085493
PC 40083a97
PC 40083b6b
PC 40083c83
