ELF sha256=8b5a090da054747a85be483d4f2714499366d4dbea0045f192181d3578ae9ad8
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=390 elapsed_us=2005086 samples=0
PC CASE effect=ScanSweep period_us=997 frames=388 elapsed_us=2002417 samples=2008
PC 40084a7b
PC 4008ceee
PC 4008ce49
PC 40101d73
PC 400833cb
PC 40088aac
PC 4008ce7d
PC 40086acf
PC 400833d6
PC 40085499
PC 400818e0
PC 4008cef6
PC 40085495
PC 40083406
PC 4000c280
PC 40083824
PC 4008ce80
PC 400854a8
PC 4000c280
PC 4008549f
PC 4008389c
PC 40101ea1
PC 4008549f
PC 4000c268
PC 40082dc8
PC 4008cedc
PC 4008ce21
PC 40086ad8
PC 400854b5
PC 40085493
PC 4008b31a
PC 40088404
PC 4008ce08
PC 4008ce0e
PC 40101ea7
PC 400833bd
PC 40084e6b
PC 40088c3c
PC 4008cdff
PC 400838ab
PC 400854b5
PC 4008cdd0
PC 4008cefb
PC 4010316d
PC 40084d9b
PC 40088c33
PC 40083414
PC 4008344c
PC 40086ad5
PC 40084cb9
PC 4008cdd6
PC 400849e2
PC 4008ce7d
PC 40084aa8
PC 40086ad5
PC 4008549f
PC 4008cdb0
PC 4008cef3
PC 4008549f
PC 40085495
PC 400849df
PC 40088e91
PC 400854b0
PC 40082ce5
PC 40083d57
PC 40083c77
PC 40084aca
PC 40083454
PC 4008396d
PC 40083b68
PC 40083b49
PC 4008ce18
PC 40083414
PC 40083454
PC 4008395a
PC 40101eac
PC 40082cda
PC 40101eb5
PC 40085499
PC 4000c268
PC 40085497
PC 400833e2
PC 4008390b
PC 40085497
PC 40083439
PC 4000c271
PC 40085497
PC 4008c538
PC 4008cf00
PC 40086ac7
PC 40085499
PC 400854b3
PC 4008549f
PC 40088b6e
PC 4008cdc4
PC 4008cda8
PC 40101e93
PC 40101ea1
PC 40084e0e
PC 400884e3
PC 4008cda5
PC 4008cdc7
PC 4008549f
PC 4008ce6f
PC 40103149
PC 400fe84d
PC 400fe60c
PC 4008cd7c
PC 40084cd3
PC 40103071
PC 40084e7f
PC 40088c33
PC 400838fd
PC 40084ccb
PC 4008ce66
PC 4008d035
PC 40103134
PC 40087eac
PC 4008b397
PC 40085493
PC 400854b3
PC 4008ce02
PC 40103131
PC 400854b5
PC 400854b5
PC 40085495
PC 401031e3
PC 4008ce83
PC 40084d3f
PC 40101ea1
PC 4008343b
PC 4000c276
PC 40101e93
PC 40102fd8
PC 4008cdb6
PC 40084aaa
PC 40085497
PC 40085493
PC 4008343d
PC 40083aab
PC 40084ad3
PC 40084a7b
PC 400854b5
PC 4000c26a
PC 40083d27
PC 40085499
PC 40084aec
PC 40084a93
PC 40101d68
PC 4000c2fd
PC 40083c7d
PC 40084aca
PC 40084ac4
PC 40101ea7
PC 4000c26c
PC 400854b3
PC 40085495
PC 40084ad3
PC 40085499
PC 40083445
PC 4008cdcd
PC 40082dd0
PC 40101d68
PC 4008cd90
PC 400854a3
PC 400879e9
PC 40083d57
PC 40101d71
PC 40084a5a
PC 4008549f
PC 40082cbf
PC 40083d5a
PC 40101e9b
PC 4008cdb6
PC 40085493
PC 4008c50d
PC 40085497
PC 400849c1
PC 4008ce4c
PC 40086abd
PC 4000c268
PC 400854b5
PC 400849e2
PC 40084a9e
PC 4008343b
PC 40086acf
PC 400849a2
PC 4008cdfa
PC 40101ea7
PC 400854b3
PC 40086ac7
PC 400854ad
PC 4010393c
PC 4008ce49
PC 40083c55
PC 40086ac5
PC 40083cfa
PC 40082dd2
PC 40101eb9
PC 40084aec
PC 40082cbc
PC 40083b88
PC 4008ce69
PC 40085493
PC 400854aa
PC 40084aec
PC 4008b38a
PC 40083b77
PC 40083b71
PC 4008ce05
PC 40082d79
PC 40083aa3
PC 40085493
PC 4008549f
PC 40082cb5
PC 40085497
PC 40085499
PC 40101d73
PC 40085493
PC 4000c280
PC 400854aa
PC 40085499
PC 4008cdd3
PC 400838fd
PC 40085493
PC 400854ad
PC 40085497
PC 40087ed2
PC 400fe7aa
PC 4008cdd3
PC 4008d028
PC 40101eb5
PC 4008cdf7
PC 4008ceda
PC 401030ba
PC 40084d54
PC 40087eb3
PC 4008b320
PC 400854b5
PC 40084c93
PC 4008cd7c
PC 4008ce27
PC 401030d6
PC 40085497
PC 400833d6
PC 4000c276
PC 4008549f
PC 4008cdfd
PC 4008ce0b
PC 4008549f
PC 40101e93
PC 4008354a
PC 40083519
PC 40083c61
PC 40101e93
PC 40084a33
PC 40084a8d
PC 400854a1
PC 4008cdb0
PC 4008cf0b
PC 40081be7
PC 40101d68
PC 40084a0c
PC 4008c569
PC 40083b32
PC 4008ceda
PC 40082dcd
PC 400854b3
PC 4008cef3
PC 40083b2b
PC 40083cff
PC 40082d48
PC 40101e96
PC 4008ce11
PC 40083a61
PC 40085497
PC 4008ce02
PC 40081bde
PC 4008499d
PC 4008395a
PC 40083b7f
PC 40082cb5
PC 4008ce18
PC 40082d42
PC 40083a03
PC 40085493
PC 40083b7a
PC 400854b5
PC 40083d33
PC 40083517
PC 40101ea1
PC 40085497
PC 40083b68
PC 40083cff
PC 4008b312
PC 40101eb5
PC 400854aa
PC 400854aa
PC 400854a8
PC 4008ce7b
PC 40085493
PC 40085499
PC 40083423
PC 4008549f
PC 400854a8
PC 4008351b
PC 4000c276
PC 40082d5a
PC 400833e2
PC 400854ad
PC 40101e9b
PC 40085499
PC 4008344c
PC 4008395a
PC 400854b3
PC 4008d035
PC 40086adb
PC 4008351b
PC 4000c283
PC 4008549f
PC 4008ce7d
PC 40085499
PC 40101ea1
PC 4008549f
PC 4008549f
PC 4008b355
PC 40083900
PC 40101ea1
PC 40083402
PC 4000c268
PC 4008549f
PC 4008cdee
PC 4008ce3c
PC 40086acc
PC 40083454
PC 40085493
PC 40081937
PC 4008cdd3
PC 40101d6e
PC 40083408
PC 40083525
PC 40081944
PC 4008cd7f
PC 40101e9b
PC 40083406
PC 40083520
PC 4008cdd3
PC 4008ce15
PC 40101e93
PC 4008549f
PC 40082d52
PC 4008d028
PC 400854ad
PC 40083447
PC 4008343f
PC 400879e9
PC 40088e43
PC 40101ea7
PC 40101ea7
