elf_sha256=6197d21719ad309434103bfbbe8cf6a4363b8233070c2fc888591eb9b8991737
payload_bytes=7856 payload_sha256=89bb791bc2978904c4335f391c72a3a293be5d823de54f737aa4dbe3c21a8bef transport=http
WIFI READY 192.168.169.176 80 leds=off heap_free=149916
LOADED bytes=7856 pixels=113 heap=10512 us=7966
transfer_seconds=1.359
LOADED bytes=7856 pixels=113 heap=10704 us=9152
transfer_seconds=0.219
LOADED bytes=7856 pixels=113 heap=10512 us=7941
transfer_seconds=0.266
VERIFIED HTTP authorization rejection
REJECT Version
REJECT Limit
REJECT Checksum
VERIFIED interrupted HTTP upload disconnect
FRAME 0 1358665187 1182 0 0
FRAME 49652777 1358665187 1175 0 0
FRAME 49659722 1358665187 1121 0 0
FRAME 58319444 249888359 1300 0 0
FRAME 58680555 3108222847 1375 0 0
FRAME 58986111 530648222 1298 0 0
FRAME 66000000 2701712700 11757 0 1
FRAME 104166666 1358665187 1175 0 0
FRAME 249753832 1358665187 347 0 0
FRAME 0 1358665187 1630 0 1
FRAME 0 1358665187 1198 0 0
FRAME 49652777 1358665187 1666 0 0
FRAME 49659722 1358665187 1125 0 0
FRAME 58319444 249888359 1291 0 0
FRAME 58680555 3108222847 1287 0 0
FRAME 58986111 530648222 1311 0 0
FRAME 66000000 2701712700 10373 0 0
FRAME 104166666 1358665187 1693 0 0
FRAME 249753832 1358665187 347 0 0
FRAME 0 1358665187 1126 0 0
FRAME 0 1358665187 1134 0 0
FRAME 49652777 1358665187 1094 0 0
FRAME 49659722 1358665187 1117 0 0
FRAME 58319444 249888359 1795 0 0
FRAME 58680555 3108222847 1287 0 0
FRAME 58986111 530648222 1295 0 0
FRAME 66000000 2701712700 11134 0 2
FRAME 104166666 1358665187 1191 0 0
FRAME 249753832 1358665187 319 0 0
FRAME 0 1358665187 1113 0 0
FRAME 0 1358665187 1221 0 0
FRAME 49652777 1358665187 1213 0 0
FRAME 49659722 1358665187 1105 0 0
FRAME 58319444 249888359 1295 0 0
FRAME 58680555 3108222847 1295 0 0
FRAME 58986111 530648222 1295 0 0
FRAME 66000000 2701712700 11999 0 0
FRAME 104166666 1358665187 1191 0 0
FRAME 249753832 1358665187 343 0 0
FRAME 0 1358665187 1126 0 0
FRAME 0 1358665187 1118 0 0
FRAME 49652777 1358665187 1118 0 0
FRAME 49659722 1358665187 1113 0 0
FRAME 58319444 249888359 1661 0 0
FRAME 58680555 3108222847 1288 0 0
FRAME 58986111 530648222 1299 0 0
FRAME 66000000 2701712700 10250 0 0
FRAME 104166666 1358665187 1179 0 0
FRAME 249753832 1358665187 319 0 0
FRAME 0 1358665187 1121 0 0
FRAME 0 1358665187 1105 0 0
FRAME 49652777 1358665187 1117 0 0
FRAME 49659722 1358665187 1146 0 0
FRAME 58319444 249888359 1284 0 0
FRAME 58680555 3108222847 1623 0 1
FRAME 58986111 530648222 1294 0 0
FRAME 66000000 2701712700 10351 0 0
FRAME 104166666 1358665187 1187 0 0
FRAME 249753832 1358665187 343 0 0
FRAME 0 1358665187 1110 0 0
FRAME 0 1358665187 1106 0 0
FRAME 49652777 1358665187 1089 0 0
FRAME 49659722 1358665187 1101 0 0
FRAME 58319444 249888359 1376 0 0
FRAME 58680555 3108222847 1284 0 0
FRAME 58986111 530648222 1311 0 0
FRAME 66000000 2701712700 10340 0 0
FRAME 104166666 1358665187 1276 0 0
FRAME 249753832 1358665187 335 0 0
FRAME 0 1358665187 1123 0 0
