elf_sha256=d7f0b148255ce6f428739a778ab03e74b7a6f1cd276493880a89b46919596ecd
payload_bytes=25268 payload_sha256=346eba4bd9d5b9eaee0ecc2f5c592de5e34f08761545f32500df17f7ffb151db transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=25268 pixels=452 heap=35704 us=9356
transfer_seconds=0.250
FRAME 0 3459375601 2359 0 0
FRAME 49652777 3459375601 2269 0 0
FRAME 49659722 3459375601 2940 0 0
FRAME 58319444 1758088845 2500 0 0
FRAME 58680555 2337628906 2538 0 0
FRAME 58986111 1343713600 2797 0 0
FRAME 66000000 2491043852 4572 0 0
FRAME 104166666 3459375601 2446 0 0
FRAME 249753832 3459375601 376 0 0
FRAME 0 3459375601 2376 0 0
VERIFIED 10 frames; zero evaluation allocations
PLAYBACK core=1 frames=120 missed=10 eval_avg_us=1889 eval_max_us=3074 encode_avg_us=2461 encode_max_us=2705 dma_wait_avg_us=1785 dma_wait_max_us=2132 total_avg_us=11578 total_max_us=96453 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1873 eval_max_us=2102 encode_avg_us=2465 encode_max_us=2824 dma_wait_avg_us=1937 dma_wait_max_us=1991 total_avg_us=6328 total_max_us=6370 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1873 eval_max_us=2100 encode_avg_us=2458 encode_max_us=2713 dma_wait_avg_us=1944 dma_wait_max_us=2152 total_avg_us=6331 total_max_us=6527 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1874 eval_max_us=2103 encode_avg_us=2459 encode_max_us=2789 dma_wait_avg_us=1941 dma_wait_max_us=1973 total_avg_us=6328 total_max_us=6433 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1874 eval_max_us=2130 encode_avg_us=2456 encode_max_us=2703 dma_wait_avg_us=1944 dma_wait_max_us=1989 total_avg_us=6329 total_max_us=6415 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1876 eval_max_us=2104 encode_avg_us=2463 encode_max_us=2788 dma_wait_avg_us=1934 dma_wait_max_us=1965 total_avg_us=6329 total_max_us=6399 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1878 eval_max_us=2135 encode_avg_us=2459 encode_max_us=2710 dma_wait_avg_us=1936 dma_wait_max_us=1965 total_avg_us=6329 total_max_us=6441 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1879 eval_max_us=2264 encode_avg_us=2455 encode_max_us=2712 dma_wait_avg_us=1939 dma_wait_max_us=1964 total_avg_us=6328 total_max_us=6389 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1858 eval_max_us=2099 encode_avg_us=2464 encode_max_us=2797 dma_wait_avg_us=1951 dma_wait_max_us=1989 total_avg_us=6329 total_max_us=6401 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1846 eval_max_us=2074 encode_avg_us=2458 encode_max_us=2709 dma_wait_avg_us=1971 dma_wait_max_us=2067 total_avg_us=6328 total_max_us=6409 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2134 encode_avg_us=2459 encode_max_us=2789 dma_wait_avg_us=1965 dma_wait_max_us=1999 total_avg_us=6328 total_max_us=6392 heap_free=81368
