elf_sha256=58b957a534e20ba3d3875652a65bdbeb4768488b70a992bbebd13304bc6cf962
payload_bytes=7856 payload_sha256=89bb791bc2978904c4335f391c72a3a293be5d823de54f737aa4dbe3c21a8bef transport=serial
DAWN LOAD READY wifi=off leds=off heap_free=196608
LOADED bytes=7856 pixels=113 heap=10704 us=7061
transfer_seconds=0.750
REJECT Version
REJECT Limit
REJECT Checksum
FRAME 0 1358665187 1129 0 0
FRAME 49652777 1358665187 607 0 0
FRAME 49659722 1358665187 614 0 0
FRAME 58319444 249888359 793 0 0
FRAME 58680555 3108222847 708 0 0
FRAME 58986111 530648222 771 0 0
FRAME 66000000 2701712700 9749 0 0
FRAME 104166666 1358665187 755 0 0
FRAME 249753832 1358665187 76 0 0
FRAME 0 1358665187 627 0 0
FRAME 0 1358665187 606 0 0
FRAME 49652777 1358665187 614 0 0
FRAME 49659722 1358665187 603 0 0
FRAME 58319444 249888359 718 0 0
FRAME 58680555 3108222847 712 0 0
FRAME 58986111 530648222 775 0 0
FRAME 66000000 2701712700 9655 0 0
FRAME 104166666 1358665187 759 0 0
FRAME 249753832 1358665187 59 0 0
FRAME 0 1358665187 627 0 0
FRAME 0 1358665187 607 0 0
FRAME 49652777 1358665187 615 0 0
FRAME 49659722 1358665187 602 0 0
FRAME 58319444 249888359 716 0 0
FRAME 58680555 3108222847 712 0 0
FRAME 58986111 530648222 775 0 0
FRAME 66000000 2701712700 9662 0 0
FRAME 104166666 1358665187 759 0 0
FRAME 249753832 1358665187 67 0 0
FRAME 0 1358665187 627 0 0
FRAME 0 1358665187 607 0 0
FRAME 49652777 1358665187 615 0 0
FRAME 49659722 1358665187 602 0 0
FRAME 58319444 249888359 718 0 0
FRAME 58680555 3108222847 711 0 0
FRAME 58986111 530648222 775 0 0
FRAME 66000000 2701712700 9655 0 0
FRAME 104166666 1358665187 759 0 0
FRAME 249753832 1358665187 59 0 0
FRAME 0 1358665187 627 0 0
FRAME 0 1358665187 607 0 0
FRAME 49652777 1358665187 614 0 0
FRAME 49659722 1358665187 602 0 0
FRAME 58319444 249888359 716 0 0
FRAME 58680555 3108222847 711 0 0
FRAME 58986111 530648222 775 0 0
FRAME 66000000 2701712700 9662 0 0
FRAME 104166666 1358665187 759 0 0
FRAME 249753832 1358665187 67 0 0
FRAME 0 1358665187 628 0 0
FRAME 0 1358665187 608 0 0
FRAME 49652777 1358665187 615 0 0
FRAME 49659722 1358665187 602 0 0
FRAME 58319444 249888359 716 0 0
FRAME 58680555 3108222847 712 0 0
FRAME 58986111 530648222 775 0 0
FRAME 66000000 2701712700 9654 0 0
FRAME 104166666 1358665187 759 0 0
FRAME 249753832 1358665187 59 0 0
FRAME 0 1358665187 626 0 0
FRAME 0 1358665187 607 0 0
FRAME 49652777 1358665187 615 0 0
FRAME 49659722 1358665187 603 0 0
FRAME 58319444 249888359 717 0 0
FRAME 58680555 3108222847 711 0 0
FRAME 58986111 530648222 774 0 0
FRAME 66000000 2701712700 9662 0 0
FRAME 104166666 1358665187 758 0 0
FRAME 249753832 1358665187 68 0 0
FRAME 0 1358665187 627 0 0
FRAME 0 1358665187 607 0 0
FRAME 49652777 1358665187 615 0 0
FRAME 49659722 1358665187 603 0 0
FRAME 58319444 249888359 717 0 0
FRAME 58680555 3108222847 711 0 0
FRAME 58986111 530648222 775 0 0
FRAME 66000000 2701712700 9655 0 0
FRAME 104166666 1358665187 759 0 0
FRAME 249753832 1358665187 59 0 0
FRAME 0 1358665187 627 0 0
FRAME 0 1358665187 608 0 0
FRAME 49652777 1358665187 615 0 0
FRAME 49659722 1358665187 603 0 0
FRAME 58319444 249888359 717 0 0
FRAME 58680555 3108222847 711 0 0
FRAME 58986111 530648222 775 0 0
FRAME 66000000 2701712700 9662 0 0
FRAME 104166666 1358665187 759 0 0
FRAME 249753832 1358665187 67 0 0
FRAME 0 1358665187 627 0 0
FRAME 0 1358665187 608 0 0
FRAME 49652777 1358665187 614 0 0
FRAME 49659722 1358665187 602 0 0
FRAME 58319444 249888359 716 0 0
FRAME 58680555 3108222847 712 0 0
FRAME 58986111 530648222 775 0 0
FRAME 66000000 2701712700 9655 0 0
FRAME 104166666 1358665187 759 0 0
FRAME 249753832 1358665187 60 0 0
FRAME 0 1358665187 627 0 0
VERIFIED 100 frames; zero evaluation allocations
