ELF sha256=2bf2e6054cdc3fab3674f6fbd1924d119583da29bd570c5a70cbc46ae2f74463
DAWN PC BEGIN cpu_mhz=240 core=1 stack_samples=false
PC CASE effect=ScanSweep period_us=0 frames=416 elapsed_us=2111611 samples=0
PC CASE effect=ScanSweep period_us=997 frames=416 elapsed_us=2119793 samples=2126
PC 40083460
PC 40084a39
PC 40083476
PC 40084a8f
PC 40083462
PC 4000c26a
PC 4010a1a5
PC 40081a80
PC 40106948
PC 40084df8
PC 4008ac9d
PC 4000c280
PC 40082be7
PC 40083460
PC 4008aca9
PC 40083454
PC 40081d8b
PC 40083393
PC 40083376
PC 40083458
PC 4008336a
PC 4010a1c1
PC 40088088
PC 4010699f
PC 4008346b
PC 401067d7
PC 400832f5
PC 4010afe7
PC 4008ad12
PC 40083469
PC 40085816
PC 40082c7c
PC 40083464
PC 4008add5
PC 40084fb5
PC 4008808f
PC 4008acd3
PC 40083358
PC 4008accd
PC 4008add2
PC 40081d77
PC 40083454
PC 4008345a
PC 4008345a
PC 4008ac94
PC 4000c2e2
PC 40083471
PC 40084b38
PC 40085652
PC 40083454
PC 4008346b
PC 4008acea
PC 4008345a
PC 4000c276
PC 4008adb6
PC 400880d9
PC 4008809f
PC 4008ad42
PC 4000c268
PC 4010b03e
PC 40083466
PC 4008559c
PC 40081da3
PC 40083469
PC 40083313
PC 4008ad23
PC 4008346e
PC 4008a743
PC 4008aca9
PC 4008601d
PC 4010afa4
PC 4008adca
PC 40083456
PC 40083460
PC 40083458
PC 4008565b
PC 40083313
PC 40085e6b
PC 400880dc
PC 4010684f
PC 4000c273
PC 40083464
PC 4008566a
PC 40086fc8
PC 40084a16
PC 40086015
PC 4008346e
PC 4008567f
PC 4008346e
PC 40085dc0
PC 401068df
PC 400d2039
PC 40106795
PC 40083399
PC 4010afc0
PC 40084a74
PC 40081d7b
PC 400857c8
PC 40083353
PC 4000c268
PC 4010a084
PC 40081a94
PC 4008ad68
PC 40084eb2
PC 40084e31
PC 40083389
PC 4008ace4
PC 40082c1c
PC 400855bf
PC 40084a18
PC 40082c4f
PC 4008601b
PC 40085661
PC 4008345a
PC 40085de7
PC 40084ee5
PC 40084b3e
PC 40106868
PC 4000c271
PC 4008adca
PC 40082ca4
PC 40081d77
PC 40084a28
PC 40084a8f
PC 40083460
PC 4008345a
PC 4008ac75
PC 4008acc1
PC 40084f08
PC 40084e2d
PC 40083387
PC 4010afac
PC 40087030
PC 4008346e
PC 40083476
PC 40084a95
PC 4008600f
PC 400d352a
PC 40083476
PC 40081a86
PC 401068b3
PC 4008346b
PC 4010a1ad
PC 40083476
PC 4008ac7b
PC 4008ad0f
PC 4008567f
PC 40084a92
PC 4010a1b3
PC 4008346e
PC 4008af11
PC 40107110
PC 4008ad48
PC 40106966
PC 4008345a
PC 4010a084
PC 4010b6a9
PC 4008aca0
PC 40083458
PC 40083458
PC 40085656
PC 40083469
PC 4008564e
PC 4010a084
PC 40107086
PC 401068a1
PC 4008601b
PC 40083454
PC 4000c280
PC 40087045
PC 40085661
PC 40082d00
PC 4008567f
PC 400857bf
PC 40083331
PC 4000c280
PC 4010a1b9
PC 40085d8f
PC 4008ad0c
PC 4008a79f
PC 40106877
PC 4008564c
PC 40083325
PC 400d356e
PC 4008565e
PC 4010af82
PC 4008aced
PC 40083476
PC 40083476
PC 40083464
PC 40083466
PC 40085e11
PC 40084f88
PC 4010b9b8
PC 4008ac72
PC 4008331b
PC 4008addc
PC 4008345a
PC 400857bf
PC 4008345a
PC 4008330f
PC 4000c280
PC 4008ad59
PC 40083471
PC 40088098
PC 4008ad57
PC 4008332b
PC 4008aca0
PC 40084a89
PC 40081d9d
PC 40083464
PC 40085728
PC 40083460
PC 40081ab0
PC 4008ac9d
PC 401068e2
PC 4008600f
PC 40087030
PC 4008346b
PC 4010b695
PC 40084a8f
PC 4008338e
PC 4008334c
PC 4008acfd
PC 4008566a
PC 40107086
PC 4008acf4
PC 4008335b
PC 4010b076
PC 400d3536
PC 40086fcc
PC 40084a0a
PC 400832f9
PC 4008330f
PC 4008ac84
PC 4008345a
PC 4008a743
PC 401067d4
PC 400832ff
PC 4008ace4
PC 4010b088
PC 40084b3b
PC 40083464
PC 40083325
PC 4000c276
PC 4008567f
PC 40083454
PC 4008ac84
PC 401068f2
PC 4008600f
PC 40084e13
PC 40083340
PC 4010af73
PC 4008ac81
PC 40082bf2
PC 4008346b
PC 40083462
PC 40083466
PC 40085dc6
PC 40084e5d
PC 40087703
PC 401067e0
PC 4000c273
PC 4008acd9
PC 40083460
PC 40083476
PC 40084a3f
PC 40085673
PC 40086022
PC 40083466
PC 40083322
PC 4010a1b3
PC 4008a7f5
PC 401068bc
PC 40085667
PC 400d353f
PC 4000c268
PC 4008ad1b
PC 4008ad15
PC 40083458
PC 40083471
PC 40082c8d
PC 40083466
PC 4008af04
PC 400880af
PC 4008acbb
PC 40106880
PC 40083474
PC 4008566d
PC 40085664
PC 4008acc1
PC 40084a8f
PC 400857af
PC 4008345a
PC 4008331b
PC 4008adcf
PC 4008addc
PC 40083476
PC 40084e2d
PC 40083353
PC 4010afea
PC 4008add2
PC 40082d0b
PC 40083458
PC 40083460
PC 40083476
PC 4008337f
PC 4010a08a
PC 40081a96
PC 4008ad00
PC 4000c276
PC 40084b38
PC 40083474
PC 4010af96
PC 4008adcf
PC 40083454
PC 40083476
PC 40083337
PC 40083360
PC 40083456
PC 4008a735
PC 400d3533
PC 40088130
PC 4008acb2
PC 4008330f
PC 4010b076
PC 4008558a
PC 4008559c
PC 40083454
PC 40082bf5
PC 40083387
PC 4010a084
PC 4000c268
PC 40083458
PC 40107088
PC 40106895
PC 4008346b
PC 4008ac63
PC 400832ff
PC 40087041
PC 40083456
PC 40084a26
PC 40081d98
PC 400857ca
PC 40083454
PC 4000c283
PC 40085659
PC 4008331b
PC 4010a084
PC 40081ab8
PC 40106889
PC 40083454
PC 401067dd
PC 40083462
PC 4010afd8
PC 4008ad03
PC 40083464
PC 400857cf
PC 40082c79
PC 4008330f
PC 4008adbb
PC 40084e9e
PC 4008a799
PC 4008ad45
PC 40083315
PC 4008ac9d
PC 40084a83
PC 400d354c
PC 400857f9
PC 40083304
PC 40083476
PC 4008ac94
PC 40084fcf
PC 40107119
PC 4010676c
PC 40083353
PC 40086ff8
PC 40084a53
PC 40083469
PC 40085794
PC 40083454
PC 4008565b
PC 40081a9d
PC 4008adb6
PC 401068bc
PC 40083469
PC 40082bf2
PC 4008557e
PC 4008702a
PC 4008acca
PC 40083462
PC 4000c280
PC 4010a1a5
PC 4008346e
PC 40085da1
PC 401068fa
PC 4000c280
PC 4010b076
PC 4010a1ad
PC 4008346e
PC 400857ab
PC 4008346e
PC 40083353
PC 4000c268
PC 40083466
PC 4008808f
PC 401068a1
PC 40086022
PC 40084e5a
PC 400832f5
PC 4010aff0
PC 4008af11
PC 40081d9d
PC 400d3561
PC 4008330f
PC 4008332b
PC 4008ac7b
PC 40084fa0
PC 40084e41
PC 4008ac87
PC 40083304
PC 4008acca
PC 4008ad57
PC 4008572b
PC 40081d98
PC 4008565e
PC 40083315
PC 4008345a
PC 4008a801
PC 40085e23
PC 40084f7c
PC 4010677d
PC 40083304
PC 4008ad57
PC 40083462
PC 40083456
PC 40084a51
PC 40083469
PC 40083460
PC 4010a1bb
PC 40083460
PC 4008ac81
PC 40106975
PC 40084b04
PC 401067d7
PC 400832f9
PC 4008adc0
PC 40082c8a
PC 40083476
PC 40084a18
PC 40082d00
PC 40083376
PC 4008566a
PC 40081aff
PC 4008ac9a
PC 40083454
PC 40084e13
PC 40083381
PC 4008ac58
PC 4000c2ea
PC 40083471
PC 400857af
PC 40084a95
PC 40083471
PC 4008aca3
PC 4008564a
PC 4008a6d1
PC 401068bc
PC 40083387
PC 4010a1b9
PC 4008600f
PC 4010afb4
PC 40083454
PC 40085816
PC 4008346e
PC 4008600f
PC 4000c280
PC 40083460
PC 40081a75
PC 401068c5
PC 40085b70
PC 4010675d
PC 4008600f
PC 4008ac60
PC 40083476
PC 4008558a
PC 40082be7
PC 40083474
PC 4000c268
PC 40085664
PC 400832ff
PC 4008addc
PC 40084fb5
PC 40084e44
PC 4008330f
PC 4010a1b9
PC 40083471
PC 4010b01f
PC 40084a68
PC 40083454
PC 40084a3f
PC 4008345a
PC 40085786
PC 400832f9
PC 4008acca
PC 40083454
PC 40085dd9
PC 40084f61
PC 40084e2d
PC 4000c265
PC 40082bd6
PC 4008330f
PC 4010aff0
PC 40082d06
PC 400857fc
PC 400832ff
PC 40083469
PC 4000c26a
PC 4010a084
PC 4008a7cc
PC 4008acd0
PC 401068f4
PC 4008345a
PC 4010a08a
PC 4010a08a
PC 40084a3c
PC 40084a7a
PC 40081d7d
PC 40083458
PC 4010a08a
PC 40085da3
PC 4008adcc
PC 4010697b
PC 4008345a
PC 40083462
PC 4010a1bb
PC 4010b036
PC 40084a1b
PC 40083460
PC 40083313
PC 4008ac63
PC 40085e71
PC 4008a779
PC 401067fb
PC 40083460
PC 4008acb8
PC 4008ad21
PC 40084a89
PC 40083454
PC 40083391
PC 40083476
PC 4008332b
PC 4008addc
PC 40084ea1
PC 40083454
PC 40083458
PC 4010b017
PC 4008af0b
PC 4008ad03
PC 40083460
PC 4000c280
PC 4008add2
PC 40085650
PC 4008a7b5
PC 4008ace7
PC 40083320
PC 4008ac84
PC 40087050
PC 4008559c
PC 40083460
PC 4008345a
PC 4008338e
PC 4008578e
PC 4008346e
PC 4008acc1
PC 40106918
PC 40085664
PC 4010b9b8
PC 40083399
PC 4010aff6
PC 4008acaf
PC 40084a8f
PC 400857bd
PC 4008568d
PC 40083309
PC 4008acfd
PC 40106945
PC 400876f2
PC 401067e6
PC 40083320
PC 4008ad1e
PC 40081d7d
PC 4010a1a8
PC 40084a28
PC 40083460
PC 4008336d
PC 40083454
PC 40083309
PC 4008adcc
PC 4008a790
PC 4008acd3
PC 4000c280
PC 40084a8f
PC 40085664
PC 4010b695
PC 40084a42
PC 40083460
PC 4000c26a
PC 40085675
PC 4010a1ad
PC 4008acf7
PC 40084e89
PC 40083476
PC 4008aca3
PC 4008335e
PC 4008ad59
PC 40082caa
PC 40081d7b
PC 40084a0e
